Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
READ latency raw data: op, timestamp(ms), latency(us)
READ,1638238554535,281065
READ,1638238554568,32634
READ,1638238554605,36794
READ,1638238554638,33513
READ,1638238554671,32273
READ,1638238554706,34967
READ,1638238554741,34841
READ,1638238554770,29258
READ,1638238554804,34387
READ,1638238554836,32128
READ,1638238554871,34592
READ,1638238554905,34235
READ,1638238554939,33937
READ,1638238554975,35140
READ,1638238555009,34407
READ,1638238555048,39014
READ,1638238555082,33930
READ,1638238555115,33237
READ,1638238555149,33920
READ,1638238555185,35693
READ,1638238555221,35923
READ,1638238555256,34691
READ,1638238555290,34129
READ,1638238555331,40742
READ,1638238555363,32672
READ,1638238555400,36365
READ,1638238555437,37308
READ,1638238555473,35613
READ,1638238555509,36575
READ,1638238555539,29838
READ,1638238555575,35370
READ,1638238555613,38297
READ,1638238555651,38267
READ,1638238555686,34804
READ,1638238555719,32412
READ,1638238555753,34387
READ,1638238555785,32208
READ,1638238555820,34617
READ,1638238555854,34293
READ,1638238555889,34843
READ,1638238555924,34844
READ,1638238555953,28423
READ,1638238555992,39688
READ,1638238556028,35594
READ,1638238556060,31524
READ,1638238556095,35794
READ,1638238556130,34135
READ,1638238556161,31090
READ,1638238556197,36454
READ,1638238556238,40837
READ,1638238556275,37043
READ,1638238556304,29204
READ,1638238556340,35361
READ,1638238556374,34256
READ,1638238556408,34053
READ,1638238556441,32865
READ,1638238556477,35626
READ,1638238556511,33763
READ,1638238556543,32585
READ,1638238556579,36165
READ,1638238556614,34802
READ,1638238556651,36325
READ,1638238556681,29950
READ,1638238556719,38040
READ,1638238556751,32079
READ,1638238556787,36304
READ,1638238556825,38124
READ,1638238556862,36862
READ,1638238556895,32837
READ,1638238556932,36867
READ,1638238556971,38828
READ,1638238557000,29416
READ,1638238557035,34446
READ,1638238557071,35928
READ,1638238557109,37836
READ,1638238557143,33772
READ,1638238557178,35761
READ,1638238557208,29504
READ,1638238557242,34311
READ,1638238557273,30768
READ,1638238557308,34444
READ,1638238557343,34973
READ,1638238557373,30167
READ,1638238557402,29161
READ,1638238557436,34141
READ,1638238557472,35280
READ,1638238557506,34600
READ,1638238557541,35238
READ,1638238557577,35657
READ,1638238557612,34672
READ,1638238557647,34696
READ,1638238557685,38709
READ,1638238557717,31221
READ,1638238557751,34250
READ,1638238557782,31422
READ,1638238557817,34569
READ,1638238557854,37146
READ,1638238557891,36735
READ,1638238557921,30452
READ,1638238557959,37065
READ,1638238557993,34657
READ,1638238558033,39414
READ,1638238558068,34964
READ,1638238558104,36242
READ,1638238558139,35168
READ,1638238558174,34313
READ,1638238558208,34627
READ,1638238558245,36298
READ,1638238558279,34054
READ,1638238558309,29890
READ,1638238558405,96050
READ,1638238558434,29416
READ,1638238558468,34190
READ,1638238558503,34634
READ,1638238558540,37095
READ,1638238558574,33881
READ,1638238558608,33454
READ,1638238558652,44684
READ,1638238558686,33586
READ,1638238558721,34862
READ,1638238558753,32110
READ,1638238558785,31397
READ,1638238558815,30261
READ,1638238558849,34174
READ,1638238558884,34740
READ,1638238558917,32794
READ,1638238558949,32562
READ,1638238558993,43214
READ,1638238559032,39298
READ,1638238559067,34715
READ,1638238559107,40741
READ,1638238559144,35974
READ,1638238559177,33577
READ,1638238559215,37880
READ,1638238559250,35202
READ,1638238559289,38685
READ,1638238559323,33984
READ,1638238559355,32108
READ,1638238559391,35365
READ,1638238559423,31942
READ,1638238559462,38932
READ,1638238559496,34812
READ,1638238559531,34238
READ,1638238559564,32901
READ,1638238559596,32289
READ,1638238559630,33733
READ,1638238559663,33455
READ,1638238559699,36059
READ,1638238559736,37019
READ,1638238559773,36319
READ,1638238559802,29303
READ,1638238559840,37925
READ,1638238559872,31420
READ,1638238559901,29611
READ,1638238559937,35422
READ,1638238559981,43861
READ,1638238560016,35601
READ,1638238560051,34583
READ,1638238560087,36288
READ,1638238560125,37622
READ,1638238560159,34158
READ,1638238560195,36388
READ,1638238560230,34513
READ,1638238560259,29180
READ,1638238560293,34200
READ,1638238560326,32057
READ,1638238560359,33273
READ,1638238560394,34879
READ,1638238560426,31975
READ,1638238560461,34653
READ,1638238560496,34940
READ,1638238560527,31203
READ,1638238560565,37709
READ,1638238560595,30896
READ,1638238560631,35708
READ,1638238560666,35172
READ,1638238560704,37505
READ,1638238560740,35996
READ,1638238560785,45303
READ,1638238560821,35335
READ,1638238560854,33181
READ,1638238560887,33485
READ,1638238560923,35278
READ,1638238560959,35960
READ,1638238560994,34981
READ,1638238561024,30015
READ,1638238561054,30106
READ,1638238561089,34598
READ,1638238561122,33559
READ,1638238561157,35176
READ,1638238561210,52529
READ,1638238561245,34853
READ,1638238561282,37157
READ,1638238561318,35784
READ,1638238561349,31431
READ,1638238561386,36210
READ,1638238561421,35371
READ,1638238561480,58814
READ,1638238561509,29274
READ,1638238561541,31988
READ,1638238561576,34786
READ,1638238561611,35117
READ,1638238561642,30703
READ,1638238561679,37177
READ,1638238561717,37689
READ,1638238561753,36283
READ,1638238561790,36913
READ,1638238561823,32807
READ,1638238561857,33503
READ,1638238561891,34390
READ,1638238561926,35143
READ,1638238561962,35503
READ,1638238561997,34784
READ,1638238562032,35847
READ,1638238562076,43074
READ,1638238562110,34419
READ,1638238562144,33462
READ,1638238562178,34521
READ,1638238562214,35514
READ,1638238562245,31636
READ,1638238562281,35732
READ,1638238562315,34368
READ,1638238562350,34921
READ,1638238562384,34039
READ,1638238562420,34313
READ,1638238562450,30626
READ,1638238562480,29693
READ,1638238562513,33101
READ,1638238562546,32553
READ,1638238562583,36986
READ,1638238562615,32434
READ,1638238562646,30314
READ,1638238562675,29473
READ,1638238562716,41143
READ,1638238562751,34952
READ,1638238562782,30054
READ,1638238562819,37543
READ,1638238562853,34175
READ,1638238562883,29749
READ,1638238562919,36085
READ,1638238562954,34605
READ,1638238562990,35701
READ,1638238563024,34879
READ,1638238563055,29976
READ,1638238563088,33299
READ,1638238563123,34741
READ,1638238563152,29251
READ,1638238563190,37863
READ,1638238563226,36001
READ,1638238563265,38992
READ,1638238563303,38025
READ,1638238563336,33501
READ,1638238563371,34682
READ,1638238563405,33774
READ,1638238563439,34154
READ,1638238563474,34246
READ,1638238563514,40035
READ,1638238563545,30820
READ,1638238563578,33393
READ,1638238563614,35727
READ,1638238563644,29813
READ,1638238563674,30791
READ,1638238563706,31815
READ,1638238563752,45838
READ,1638238563785,33001
READ,1638238563821,35683
READ,1638238563858,37438
READ,1638238563895,36988
READ,1638238563933,37315
READ,1638238563965,32365
READ,1638238564002,37009
READ,1638238564064,61641
READ,1638238564096,32518
READ,1638238564132,35472
READ,1638238564168,36495
READ,1638238564200,31689
READ,1638238564239,39045
READ,1638238564273,33593
READ,1638238564305,31870
READ,1638238564340,34761
READ,1638238564374,34492
READ,1638238564408,33745
READ,1638238564447,38689
READ,1638238564481,33910
READ,1638238564511,30937
READ,1638238564545,33284
READ,1638238564575,29673
READ,1638238564605,29976
READ,1638238564637,32455
READ,1638238564667,30249
READ,1638238564699,31242
READ,1638238564734,35783
READ,1638238564768,33282
READ,1638238564802,34285
READ,1638238564837,34546
READ,1638238564882,45215
READ,1638238564914,31867
READ,1638238564949,34789
READ,1638238564983,34329
READ,1638238565012,29519
READ,1638238565042,29332
READ,1638238565079,37320
READ,1638238565115,35708
READ,1638238565149,33930
READ,1638238565183,33959
READ,1638238565213,30471
READ,1638238565244,30509
READ,1638238565282,37988
READ,1638238565317,34796
READ,1638238565350,33632
READ,1638238565385,34241
READ,1638238565417,31781
READ,1638238565451,34543
READ,1638238565485,34033
READ,1638238565519,33576
READ,1638238565554,35432
READ,1638238565590,35873
READ,1638238565635,44919
READ,1638238565668,32949
READ,1638238565704,35941
READ,1638238565740,35667
READ,1638238565775,34714
READ,1638238565808,33534
READ,1638238565845,36872
READ,1638238565875,29445
READ,1638238565910,35584
READ,1638238565945,34766
READ,1638238565982,36570
READ,1638238566017,34922
READ,1638238566047,30147
READ,1638238566076,29491
READ,1638238566112,35819
READ,1638238566147,35316
READ,1638238566180,32935
READ,1638238566219,38486
READ,1638238566260,41097
READ,1638238566299,39288
READ,1638238566332,32100
READ,1638238566366,34175
READ,1638238566397,31262
READ,1638238566433,36199
READ,1638238566463,29254
READ,1638238566498,35332
READ,1638238566528,30472
READ,1638238566571,42554
READ,1638238566604,32681
READ,1638238566636,32391
READ,1638238566671,34437
READ,1638238566701,30609
