Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
CLEANUP latency raw data: op, timestamp(ms), latency(us)
CLEANUP,1638107266555,5
UPDATE latency raw data: op, timestamp(ms), latency(us)
UPDATE,1638104166999,302783
UPDATE,1638104167030,30931
UPDATE,1638104167064,34142
UPDATE,1638104167098,34036
UPDATE,1638104167132,33322
UPDATE,1638104167166,34009
UPDATE,1638104167201,34835
UPDATE,1638104167235,34433
UPDATE,1638104167268,32897
UPDATE,1638104167300,32111
UPDATE,1638104167334,33264
UPDATE,1638104167373,39611
UPDATE,1638104167404,30261
UPDATE,1638104167437,33473
UPDATE,1638104167471,34188
UPDATE,1638104167506,34809
UPDATE,1638104167540,33851
UPDATE,1638104167576,35418
UPDATE,1638104167612,36089
UPDATE,1638104167646,33829
UPDATE,1638104167680,33945
UPDATE,1638104167714,34799
UPDATE,1638104167767,52544
UPDATE,1638104167801,33844
UPDATE,1638104167834,32848
UPDATE,1638104167868,33562
UPDATE,1638104167900,32589
UPDATE,1638104167933,32841
UPDATE,1638104167967,33678
UPDATE,1638104168002,34886
UPDATE,1638104168036,33964
UPDATE,1638104168069,33389
UPDATE,1638104168103,33326
UPDATE,1638104168138,35610
UPDATE,1638104168168,29572
UPDATE,1638104168203,34676
UPDATE,1638104168237,33810
UPDATE,1638104168268,31904
UPDATE,1638104168301,32786
UPDATE,1638104168335,33159
UPDATE,1638104168371,36685
UPDATE,1638104168415,43247
UPDATE,1638104168449,34059
UPDATE,1638104168481,31915
UPDATE,1638104168516,35384
UPDATE,1638104168553,36917
UPDATE,1638104168589,36178
UPDATE,1638104168632,42840
UPDATE,1638104168662,29348
UPDATE,1638104168691,29571
UPDATE,1638104168728,36763
UPDATE,1638104168762,33924
UPDATE,1638104168793,31305
UPDATE,1638104168827,33185
UPDATE,1638104168863,35954
UPDATE,1638104168899,36438
UPDATE,1638104168936,37100
UPDATE,1638104168970,34122
UPDATE,1638104169006,35153
UPDATE,1638104169043,37284
UPDATE,1638104169079,36110
UPDATE,1638104169116,36303
UPDATE,1638104169149,33156
UPDATE,1638104169181,32199
UPDATE,1638104169214,32834
UPDATE,1638104169251,36638
UPDATE,1638104169287,35924
UPDATE,1638104169320,33574
UPDATE,1638104169355,34381
UPDATE,1638104169385,30040
UPDATE,1638104169419,34394
UPDATE,1638104169455,35557
UPDATE,1638104169487,32398
UPDATE,1638104169522,34694
UPDATE,1638104169556,33873
UPDATE,1638104169593,36704
UPDATE,1638104169626,33733
UPDATE,1638104169657,30973
UPDATE,1638104169692,34451
UPDATE,1638104169726,33491
UPDATE,1638104169760,34860
UPDATE,1638104169795,34225
UPDATE,1638104169829,34342
UPDATE,1638104169858,28587
UPDATE,1638104169894,36005
UPDATE,1638104169927,33038
UPDATE,1638104169962,35330
UPDATE,1638104169995,32687
UPDATE,1638104170028,33268
UPDATE,1638104170062,33071
UPDATE,1638104170090,28928
UPDATE,1638104170123,32484
UPDATE,1638104170157,34314
UPDATE,1638104170191,33648
UPDATE,1638104170224,32891
UPDATE,1638104170255,30866
UPDATE,1638104170289,33749
UPDATE,1638104170324,35186
UPDATE,1638104170356,31930
UPDATE,1638104170386,30018
UPDATE,1638104170423,36398
UPDATE,1638104170454,31183
UPDATE,1638104170488,34084
UPDATE,1638104170520,32366
UPDATE,1638104170553,32629
UPDATE,1638104170588,34516
UPDATE,1638104170620,32023
UPDATE,1638104170657,36777
UPDATE,1638104170687,30365
UPDATE,1638104170716,29426
UPDATE,1638104170750,33916
UPDATE,1638104170784,33684
UPDATE,1638104170815,30832
UPDATE,1638104170849,34151
UPDATE,1638104170890,41034
UPDATE,1638104170925,34697
UPDATE,1638104170961,35602
UPDATE,1638104170996,35627
UPDATE,1638104171032,35992
UPDATE,1638104171062,29763
UPDATE,1638104171101,38316
UPDATE,1638104171137,36310
UPDATE,1638104171173,36359
UPDATE,1638104171208,34520
UPDATE,1638104171237,29281
UPDATE,1638104171268,30913
UPDATE,1638104171303,34822
UPDATE,1638104171338,34521
UPDATE,1638104171373,35038
UPDATE,1638104171405,32437
UPDATE,1638104171438,32866
UPDATE,1638104171466,27794
UPDATE,1638104171500,33414
UPDATE,1638104171536,36149
UPDATE,1638104171568,31943
UPDATE,1638104171601,33628
UPDATE,1638104171635,33918
UPDATE,1638104171667,31268
UPDATE,1638104171696,28680
UPDATE,1638104171731,35524
UPDATE,1638104171765,34284
UPDATE,1638104171802,36344
UPDATE,1638104171837,35191
UPDATE,1638104171871,33872
UPDATE,1638104171906,34608
UPDATE,1638104171947,41657
UPDATE,1638104171981,33474
UPDATE,1638104172010,29009
UPDATE,1638104172042,32452
UPDATE,1638104172074,31979
UPDATE,1638104172110,35328
UPDATE,1638104172140,30061
UPDATE,1638104172172,32321
UPDATE,1638104172207,34896
UPDATE,1638104172243,35881
UPDATE,1638104172272,28763
UPDATE,1638104172302,29933
UPDATE,1638104172338,36375
UPDATE,1638104172373,34042
UPDATE,1638104172407,34383
UPDATE,1638104172439,32473
UPDATE,1638104172474,34373
UPDATE,1638104172508,34266
UPDATE,1638104172543,34343
UPDATE,1638104172579,36145
UPDATE,1638104172616,36951
UPDATE,1638104172651,35070
UPDATE,1638104172689,38492
UPDATE,1638104172721,31279
UPDATE,1638104172754,33430
UPDATE,1638104172789,34608
UPDATE,1638104172825,35661
UPDATE,1638104172859,34770
UPDATE,1638104172893,33597
UPDATE,1638104172929,35999
UPDATE,1638104172963,33705
UPDATE,1638104172997,33555
UPDATE,1638104173032,35740
UPDATE,1638104173065,32229
UPDATE,1638104173095,30639
UPDATE,1638104173128,32382
UPDATE,1638104173157,29443
UPDATE,1638104173191,34023
UPDATE,1638104173227,35906
UPDATE,1638104173258,30323
UPDATE,1638104173291,33255
UPDATE,1638104173322,30786
UPDATE,1638104173359,37636
UPDATE,1638104173390,30161
UPDATE,1638104173426,36698
UPDATE,1638104173459,33008
UPDATE,1638104173496,36749
UPDATE,1638104173528,31326
UPDATE,1638104173563,35067
UPDATE,1638104173597,33679
UPDATE,1638104173631,34041
UPDATE,1638104173662,31657
UPDATE,1638104173696,33466
UPDATE,1638104173732,36238
UPDATE,1638104173761,29027
UPDATE,1638104173790,28981
UPDATE,1638104173820,29237
UPDATE,1638104173853,33059
UPDATE,1638104173886,33033
UPDATE,1638104173920,34496
UPDATE,1638104173955,34511
UPDATE,1638104173988,33412
UPDATE,1638104174019,30856
UPDATE,1638104174052,33022
UPDATE,1638104174088,35516
UPDATE,1638104174121,33374
UPDATE,1638104174155,33633
UPDATE,1638104174190,34537
UPDATE,1638104174222,32594
UPDATE,1638104174258,35278
UPDATE,1638104174293,34850
UPDATE,1638104174322,29526
UPDATE,1638104174355,33316
UPDATE,1638104174385,29185
UPDATE,1638104174415,30441
UPDATE,1638104174448,32768
UPDATE,1638104174477,28875
UPDATE,1638104174506,28864
UPDATE,1638104174537,30701
UPDATE,1638104174567,30019
UPDATE,1638104174596,28813
UPDATE,1638104174629,33330
UPDATE,1638104174663,33854
UPDATE,1638104174697,34365
UPDATE,1638104174726,28990
UPDATE,1638104174756,29289
UPDATE,1638104174790,33915
UPDATE,1638104174826,36513
UPDATE,1638104174860,33657
UPDATE,1638104174894,34031
UPDATE,1638104174931,37434
UPDATE,1638104174974,42268
UPDATE,1638104175007,33420
UPDATE,1638104175042,34697
UPDATE,1638104175076,33790
UPDATE,1638104175111,34795
UPDATE,1638104175145,34698
UPDATE,1638104175178,32545
UPDATE,1638104175213,34751
UPDATE,1638104175244,31418
UPDATE,1638104175278,33925
UPDATE,1638104175308,29773
UPDATE,1638104175341,32600
UPDATE,1638104175376,35009
UPDATE,1638104175410,34609
UPDATE,1638104175444,33907
UPDATE,1638104175477,32229
UPDATE,1638104175511,34258
UPDATE,1638104175545,33762
UPDATE,1638104175576,31544
UPDATE,1638104175610,33001
UPDATE,1638104175645,35043
UPDATE,1638104175681,36382
UPDATE,1638104175714,32986
UPDATE,1638104175749,34990
UPDATE,1638104175781,31276
UPDATE,1638104175817,36658
UPDATE,1638104175850,32790
UPDATE,1638104175886,35561
UPDATE,1638104175922,36654
UPDATE,1638104175958,35500
UPDATE,1638104175995,37057
UPDATE,1638104176030,35328
UPDATE,1638104176065,34748
UPDATE,1638104176100,34789
UPDATE,1638104176138,38132
UPDATE,1638104176172,33314
UPDATE,1638104176204,32759
UPDATE,1638104176241,36419
UPDATE,1638104176274,33100
UPDATE,1638104176308,33652
UPDATE,1638104176342,33831
UPDATE,1638104176370,28771
UPDATE,1638104176399,28525
UPDATE,1638104176429,29533
UPDATE,1638104176470,41099
UPDATE,1638104176499,29189
UPDATE,1638104176533,34285
UPDATE,1638104176567,33346
UPDATE,1638104176600,33665
UPDATE,1638104176634,33227
