Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
READ latency raw data: op, timestamp(ms), latency(us)
READ,1638123650428,36481
READ,1638123650641,35908
READ,1638123650678,37150
READ,1638123650784,36014
READ,1638123650893,35164
READ,1638123651102,36323
READ,1638123651309,29627
READ,1638123652039,38843
READ,1638123652685,29039
READ,1638123652793,35389
READ,1638123653832,35153
READ,1638123654413,38451
READ,1638123654490,39094
READ,1638123654911,32282
READ,1638123655867,35895
READ,1638123656248,33152
READ,1638123656421,33004
READ,1638123656624,33001
READ,1638123656807,32605
READ,1638123657759,29191
READ,1638123657823,33365
READ,1638123658065,30817
READ,1638123658262,32604
READ,1638123658294,31729
READ,1638123658367,36247
READ,1638123658440,35764
READ,1638123658546,32339
READ,1638123658670,30405
READ,1638123658954,34572
READ,1638123659348,36356
READ,1638123659441,27889
READ,1638123659610,35441
READ,1638123660026,31889
READ,1638123660545,28743
READ,1638123660613,32966
READ,1638123660646,32915
READ,1638123660782,31139
READ,1638123661105,32538
READ,1638123661409,30939
READ,1638123661514,36633
READ,1638123662028,32607
READ,1638123662060,31829
READ,1638123662438,34277
READ,1638123663414,33014
READ,1638123663443,29031
READ,1638123663628,35708
READ,1638123663758,30892
READ,1638123663891,34678
READ,1638123663996,34926
READ,1638123664025,28748
READ,1638123665160,36427
READ,1638123665696,35095
READ,1638123665901,40077
READ,1638123666010,30746
READ,1638123666067,28201
READ,1638123666238,37094
READ,1638123666766,27800
READ,1638123667000,35844
READ,1638123667312,35260
READ,1638123667428,35043
READ,1638123667523,31338
READ,1638123667655,34487
READ,1638123667688,33261
READ,1638123667859,33760
READ,1638123668199,32392
READ,1638123668813,30299
READ,1638123669385,32262
READ,1638123669761,32543
READ,1638123670286,27720
READ,1638123670483,33673
READ,1638123670715,30749
READ,1638123671043,28480
READ,1638123671080,36381
READ,1638123671139,30693
READ,1638123671167,28064
READ,1638123672098,29035
READ,1638123672137,39314
READ,1638123672932,30980
READ,1638123673257,32509
READ,1638123673292,35017
READ,1638123673352,28315
READ,1638123673619,37293
READ,1638123673966,31315
READ,1638123674451,30607
READ,1638123675178,36834
READ,1638123675839,34382
READ,1638123676508,32839
READ,1638123676638,30862
READ,1638123677128,28401
READ,1638123678416,31012
READ,1638123678797,32520
READ,1638123679309,40770
READ,1638123679343,34489
READ,1638123679487,37166
READ,1638123679519,32083
READ,1638123679679,33686
READ,1638123680400,32778
READ,1638123680460,27874
READ,1638123680870,30438
READ,1638123681114,35697
READ,1638123681428,41280
READ,1638123681739,32055
READ,1638123681769,30641
READ,1638123682009,31815
READ,1638123682041,32526
READ,1638123682346,32291
READ,1638123682923,32591
READ,1638123683705,29408
READ,1638123684008,35160
READ,1638123684075,32641
READ,1638123684141,28788
READ,1638123684209,32664
READ,1638123684334,27989
READ,1638123684545,40129
READ,1638123684997,33356
READ,1638123685663,34043
READ,1638123686657,32676
READ,1638123686968,28152
READ,1638123687579,28705
READ,1638123687739,29598
READ,1638123687987,32663
READ,1638123688193,29044
READ,1638123688445,30579
READ,1638123688476,31566
READ,1638123688679,35882
READ,1638123688823,35849
READ,1638123688969,30645
READ,1638123689989,36243
READ,1638123690195,33206
READ,1638123690271,35898
READ,1638123691036,33314
READ,1638123691578,27923
READ,1638123691641,30666
READ,1638123692084,31918
READ,1638123692223,34859
READ,1638123692310,27700
READ,1638123692851,32927
READ,1638123693118,31438
READ,1638123693482,28014
READ,1638123693609,35675
READ,1638123694150,31127
READ,1638123694449,28025
READ,1638123694951,37189
READ,1638123695216,33881
READ,1638123695529,32196
READ,1638123695602,37215
READ,1638123695632,30396
READ,1638123695894,27800
READ,1638123695923,28851
READ,1638123695984,29087
READ,1638123696370,31569
READ,1638123697232,31724
READ,1638123697589,31485
READ,1638123698021,28605
READ,1638123698119,32017
READ,1638123698155,35932
READ,1638123698222,30923
READ,1638123698928,42014
READ,1638123699049,31140
READ,1638123699377,35417
READ,1638123699859,28117
READ,1638123699898,38200
READ,1638123700699,34079
READ,1638123700902,32273
READ,1638123700938,35794
READ,1638123701257,30777
READ,1638123701765,34849
READ,1638123701825,27563
READ,1638123701959,34781
READ,1638123702061,35402
READ,1638123703261,33605
READ,1638123703397,35423
READ,1638123703457,31427
READ,1638123703852,27425
READ,1638123703998,36147
READ,1638123704062,31947
READ,1638123704781,28764
READ,1638123705262,32060
