Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
READ latency raw data: op, timestamp(ms), latency(us)
READ,1638236144290,38134
READ,1638236144575,34249
READ,1638236145176,41159
READ,1638236145762,35481
READ,1638236145928,35062
READ,1638236146061,37940
READ,1638236147685,39877
READ,1638236147971,32513
READ,1638236148196,35771
READ,1638236148380,34816
READ,1638236148593,37207
READ,1638236149963,38690
READ,1638236150251,38255
READ,1638236150386,31570
READ,1638236151524,34830
READ,1638236151798,30336
READ,1638236153097,36091
READ,1638236153240,35142
READ,1638236154187,35973
READ,1638236154481,34667
READ,1638236154626,35777
READ,1638236155500,38085
READ,1638236155740,38265
READ,1638236155913,32512
READ,1638236155987,39892
READ,1638236156152,31335
READ,1638236156699,29523
READ,1638236157749,28986
READ,1638236157823,34385
READ,1638236158063,47952
READ,1638236158332,30432
READ,1638236158646,33063
READ,1638236159106,34641
READ,1638236159369,33377
READ,1638236159467,33425
READ,1638236159573,34797
READ,1638236159644,32050
READ,1638236159999,37039
READ,1638236160389,35769
READ,1638236160486,33344
READ,1638236160831,37263
READ,1638236161472,40049
READ,1638236162237,36873
READ,1638236162410,31973
READ,1638236162687,35174
READ,1638236162863,31475
READ,1638236163554,29932
READ,1638236163615,30752
READ,1638236163852,36618
READ,1638236164435,31430
READ,1638236164649,33921
READ,1638236164720,37845
READ,1638236164922,34333
READ,1638236165095,30111
READ,1638236165232,29960
READ,1638236165561,31645
READ,1638236165962,31930
READ,1638236166028,30617
READ,1638236166417,29177
READ,1638236166449,31513
READ,1638236166773,38377
READ,1638236166924,34916
READ,1638236167049,30136
READ,1638236167192,35697
READ,1638236167262,35699
READ,1638236168177,29738
READ,1638236168347,33554
READ,1638236169400,29252
READ,1638236169515,38366
READ,1638236169901,30311
READ,1638236170206,33599
READ,1638236170310,32563
READ,1638236170686,29112
READ,1638236170918,29148
READ,1638236171704,28902
READ,1638236171938,31128
READ,1638236172673,33814
READ,1638236172816,34200
READ,1638236173925,33683
READ,1638236173967,42662
READ,1638236174181,37650
READ,1638236174628,37598
READ,1638236174859,30174
READ,1638236175098,32052
READ,1638236175323,32774
READ,1638236175709,36180
READ,1638236175739,29814
READ,1638236176356,35870
READ,1638236176423,35140
READ,1638236176586,33390
READ,1638236176823,36195
READ,1638236177091,37520
READ,1638236177196,33735
READ,1638236177254,28975
READ,1638236177575,30119
READ,1638236177730,29004
CLEANUP latency raw data: op, timestamp(ms), latency(us)
CLEANUP,1638236178638,1
INSERT latency raw data: op, timestamp(ms), latency(us)
INSERT,1638236143593,283328
INSERT,1638236143628,34965
INSERT,1638236143665,36990
INSERT,1638236143701,36439
INSERT,1638236143736,34903
INSERT,1638236143771,34382
INSERT,1638236143807,35648
INSERT,1638236143836,29367
INSERT,1638236143872,35515
INSERT,1638236143919,47703
INSERT,1638236143956,36188
INSERT,1638236143993,37122
INSERT,1638236144031,38533
INSERT,1638236144067,35359
INSERT,1638236144102,35347
INSERT,1638236144139,36273
INSERT,1638236144177,38064
INSERT,1638236144216,39722
INSERT,1638236144251,34735
INSERT,1638236144325,35732
INSERT,1638236144362,36521
INSERT,1638236144398,36470
INSERT,1638236144433,34252
INSERT,1638236144467,33983
INSERT,1638236144502,35091
INSERT,1638236144540,38222
INSERT,1638236144610,35862
INSERT,1638236144647,36255
INSERT,1638236144686,39388
INSERT,1638236144717,30942
INSERT,1638236144750,32509
INSERT,1638236144785,35055
INSERT,1638236144816,31353
INSERT,1638236144849,32518
INSERT,1638236144881,32188
INSERT,1638236144920,38774
INSERT,1638236144957,37214
INSERT,1638236144987,29503
INSERT,1638236145023,36240
INSERT,1638236145060,36980
INSERT,1638236145096,35851
INSERT,1638236145135,39016
INSERT,1638236145212,35467
INSERT,1638236145244,32441
INSERT,1638236145281,37082
INSERT,1638236145316,34501
INSERT,1638236145350,33859
INSERT,1638236145394,44205
INSERT,1638236145430,35989
INSERT,1638236145462,31338
INSERT,1638236145499,37566
INSERT,1638236145534,34205
INSERT,1638236145571,37490
INSERT,1638236145618,47160
INSERT,1638236145654,35527
INSERT,1638236145691,37432
INSERT,1638236145727,35230
INSERT,1638236145792,30007
INSERT,1638236145829,36995
INSERT,1638236145859,29649
INSERT,1638236145893,33494
INSERT,1638236145960,32748
INSERT,1638236145990,29092
INSERT,1638236146023,33293
INSERT,1638236146098,37184
INSERT,1638236146132,33983
INSERT,1638236146166,33502
INSERT,1638236146197,31247
INSERT,1638236146229,31473
INSERT,1638236146265,36425
INSERT,1638236146299,34230
INSERT,1638236146336,36373
INSERT,1638236146369,33719
INSERT,1638236146408,38131
INSERT,1638236146447,39557
INSERT,1638236146484,36516
INSERT,1638236146522,38315
INSERT,1638236146561,38918
INSERT,1638236146600,38516
INSERT,1638236146634,34465
INSERT,1638236146670,35810
INSERT,1638236146707,37277
INSERT,1638236146742,34210
INSERT,1638236146772,30299
INSERT,1638236146813,40902
INSERT,1638236146856,43184
INSERT,1638236146895,38935
INSERT,1638236146933,37691
INSERT,1638236146973,40282
INSERT,1638236147010,37028
INSERT,1638236147049,38601
INSERT,1638236147086,36871
INSERT,1638236147124,37511
INSERT,1638236147159,35464
INSERT,1638236147194,34928
INSERT,1638236147227,32635
INSERT,1638236147262,35186
INSERT,1638236147297,34809
INSERT,1638236147330,33469
INSERT,1638236147363,32895
INSERT,1638236147403,39786
INSERT,1638236147439,35840
INSERT,1638236147483,43764
INSERT,1638236147514,30964
INSERT,1638236147548,34192
INSERT,1638236147582,33800
INSERT,1638236147614,31642
INSERT,1638236147645,31208
INSERT,1638236147718,33054
INSERT,1638236147757,38635
INSERT,1638236147792,35190
INSERT,1638236147829,36657
INSERT,1638236147866,37535
INSERT,1638236147905,38482
INSERT,1638236147938,33208
INSERT,1638236148013,41873
INSERT,1638236148043,30520
INSERT,1638236148082,38500
INSERT,1638236148121,39140
INSERT,1638236148160,38780
INSERT,1638236148230,34703
INSERT,1638236148261,30138
INSERT,1638236148301,40574
INSERT,1638236148345,43902
INSERT,1638236148413,33119
INSERT,1638236148446,32912
INSERT,1638236148481,34733
INSERT,1638236148520,38826
INSERT,1638236148556,36062
INSERT,1638236148631,37336
INSERT,1638236148667,36654
INSERT,1638236148710,42395
INSERT,1638236148747,36874
INSERT,1638236148784,36884
INSERT,1638236148827,43755
INSERT,1638236148858,31044
INSERT,1638236148890,31913
INSERT,1638236148931,40781
INSERT,1638236148966,34598
INSERT,1638236149000,34398
INSERT,1638236149037,36399
INSERT,1638236149075,38084
INSERT,1638236149109,34273
INSERT,1638236149142,32274
INSERT,1638236149183,41277
INSERT,1638236149235,52222
INSERT,1638236149266,31043
INSERT,1638236149302,35969
INSERT,1638236149338,35355
INSERT,1638236149367,29553
INSERT,1638236149401,33464
INSERT,1638236149447,45803
INSERT,1638236149485,37855
INSERT,1638236149518,32839
INSERT,1638236149551,33610
INSERT,1638236149595,44032
INSERT,1638236149635,39196
INSERT,1638236149677,42127
INSERT,1638236149714,37566
INSERT,1638236149751,36616
INSERT,1638236149783,32362
INSERT,1638236149813,29541
INSERT,1638236149860,46652
INSERT,1638236149889,29749
INSERT,1638236149924,34552
INSERT,1638236149996,33497
INSERT,1638236150033,36987
INSERT,1638236150070,36096
INSERT,1638236150105,35018
INSERT,1638236150142,37525
INSERT,1638236150177,35056
INSERT,1638236150213,35702
INSERT,1638236150285,33773
INSERT,1638236150317,31509
INSERT,1638236150355,38013
INSERT,1638236150421,34606
INSERT,1638236150459,38390
INSERT,1638236150497,37971
INSERT,1638236150534,36426
INSERT,1638236150570,36050
INSERT,1638236150602,31478
INSERT,1638236150633,31713
INSERT,1638236150669,35659
INSERT,1638236150702,33276
INSERT,1638236150740,37131
INSERT,1638236150774,34624
INSERT,1638236150805,30960
INSERT,1638236150838,32668
INSERT,1638236150874,36182
INSERT,1638236150911,37195
INSERT,1638236150944,32842
INSERT,1638236150981,36775
INSERT,1638236151018,36351
INSERT,1638236151058,40487
INSERT,1638236151093,35042
INSERT,1638236151123,29390
INSERT,1638236151153,30155
INSERT,1638236151196,42667
INSERT,1638236151230,34009
INSERT,1638236151270,40573
INSERT,1638236151311,41185
INSERT,1638236151348,36271
INSERT,1638236151383,35326
INSERT,1638236151417,33356
INSERT,1638236151456,39050
INSERT,1638236151489,33046
INSERT,1638236151559,35803
INSERT,1638236151594,34671
INSERT,1638236151629,35181
INSERT,1638236151663,33511
INSERT,1638236151699,35613
INSERT,1638236151733,34280
INSERT,1638236151768,34928
INSERT,1638236151837,38553
INSERT,1638236151866,29332
INSERT,1638236151901,34323
INSERT,1638236151937,36534
