Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
READ latency raw data: op, timestamp(ms), latency(us)
READ,1638237006915,33837
READ,1638237007207,38330
READ,1638237007536,35178
READ,1638237007873,45994
READ,1638237009264,32296
READ,1638237009681,38068
READ,1638237009893,39215
READ,1638237010100,32029
READ,1638237010807,46094
READ,1638237011362,34177
READ,1638237011479,37291
READ,1638237011713,37573
READ,1638237012164,39506
READ,1638237012242,32868
READ,1638237012356,37840
READ,1638237012688,34202
READ,1638237013653,41730
READ,1638237013725,31942
READ,1638237014380,33104
READ,1638237014573,38495
READ,1638237014621,47264
READ,1638237015410,39520
READ,1638237015447,36857
READ,1638237015938,38917
READ,1638237016046,34605
READ,1638237016484,32683
READ,1638237016520,36113
READ,1638237016733,34769
READ,1638237017681,28011
READ,1638237017974,37260
READ,1638237018154,36352
READ,1638237018813,33340
READ,1638237018843,30132
READ,1638237019803,27944
READ,1638237019875,33533
READ,1638237020028,37219
READ,1638237020066,37539
READ,1638237020098,32702
READ,1638237020132,33861
READ,1638237020283,38354
READ,1638237020390,33935
READ,1638237020595,38581
READ,1638237020829,46541
READ,1638237022051,32057
READ,1638237022555,36101
READ,1638237022668,37367
READ,1638237023066,31425
READ,1638237023103,36863
READ,1638237023133,29955
READ,1638237023201,35819
READ,1638237023462,39246
READ,1638237023880,32031
READ,1638237024054,32663
READ,1638237025020,36888
READ,1638237025158,33250
READ,1638237026223,28136
READ,1638237027034,39010
READ,1638237027174,33630
READ,1638237027563,34794
READ,1638237028717,36822
READ,1638237028785,35867
READ,1638237029219,36490
READ,1638237029249,29314
READ,1638237029672,35417
READ,1638237030148,33477
READ,1638237030474,38309
READ,1638237031037,29222
READ,1638237031664,34126
READ,1638237031961,37903
READ,1638237031990,28645
READ,1638237032094,36949
READ,1638237032476,33832
READ,1638237032690,29507
READ,1638237033973,31968
READ,1638237034226,33157
READ,1638237034261,34834
READ,1638237034500,35883
READ,1638237034721,34071
READ,1638237035336,40760
READ,1638237035673,28518
READ,1638237036008,34572
READ,1638237036447,38469
READ,1638237036581,30227
READ,1638237037660,34161
READ,1638237038057,41017
READ,1638237038157,34123
READ,1638237038425,37990
READ,1638237039165,33915
READ,1638237040407,34426
READ,1638237040651,37198
READ,1638237041904,27261
READ,1638237042309,34370
READ,1638237042443,35497
READ,1638237042543,34497
READ,1638237042578,35285
CLEANUP latency raw data: op, timestamp(ms), latency(us)
CLEANUP,1638237042730,1
UPDATE latency raw data: op, timestamp(ms), latency(us)
UPDATE,1638237006806,287227
UPDATE,1638237006843,36074
UPDATE,1638237006881,38047
UPDATE,1638237006948,33736
UPDATE,1638237006987,38716
UPDATE,1638237007020,32348
UPDATE,1638237007053,33298
UPDATE,1638237007091,37883
UPDATE,1638237007130,39201
UPDATE,1638237007169,38782
UPDATE,1638237007247,39938
UPDATE,1638237007286,38709
UPDATE,1638237007322,35539
UPDATE,1638237007355,32862
UPDATE,1638237007390,35828
UPDATE,1638237007428,37527
UPDATE,1638237007466,37803
UPDATE,1638237007500,34335
UPDATE,1638237007573,37513
UPDATE,1638237007608,35206
UPDATE,1638237007647,38934
UPDATE,1638237007682,34422
UPDATE,1638237007716,33564
UPDATE,1638237007753,37541
UPDATE,1638237007788,34611
UPDATE,1638237007827,39094
UPDATE,1638237007911,37854
UPDATE,1638237007948,36855
UPDATE,1638237007982,34190
UPDATE,1638237008014,31709
UPDATE,1638237008055,40676
UPDATE,1638237008084,28910
UPDATE,1638237008120,36844
UPDATE,1638237008158,37986
UPDATE,1638237008191,32673
UPDATE,1638237008228,36640
UPDATE,1638237008261,32843
UPDATE,1638237008299,37706
UPDATE,1638237008338,39553
UPDATE,1638237008374,35879
UPDATE,1638237008411,37092
UPDATE,1638237008449,37152
UPDATE,1638237008485,36328
UPDATE,1638237008519,34108
UPDATE,1638237008549,29733
UPDATE,1638237008588,38935
UPDATE,1638237008626,38243
UPDATE,1638237008662,36262
UPDATE,1638237008697,34054
UPDATE,1638237008745,48152
UPDATE,1638237008786,41051
UPDATE,1638237008827,41035
UPDATE,1638237008861,34462
UPDATE,1638237008897,35176
UPDATE,1638237008935,38451
UPDATE,1638237008973,38028
UPDATE,1638237009007,33407
UPDATE,1638237009047,40544
UPDATE,1638237009085,37203
UPDATE,1638237009118,33061
UPDATE,1638237009156,37804
UPDATE,1638237009194,38246
UPDATE,1638237009231,37368
UPDATE,1638237009303,39605
UPDATE,1638237009337,33357
UPDATE,1638237009374,37140
UPDATE,1638237009407,32687
UPDATE,1638237009453,46694
UPDATE,1638237009491,37491
UPDATE,1638237009529,37819
UPDATE,1638237009567,37944
UPDATE,1638237009606,38676
UPDATE,1638237009643,37510
UPDATE,1638237009715,33854
UPDATE,1638237009746,30286
UPDATE,1638237009784,38851
UPDATE,1638237009818,33169
UPDATE,1638237009854,36042
UPDATE,1638237009925,32044
UPDATE,1638237009965,39667
UPDATE,1638237009998,33202
UPDATE,1638237010038,39847
UPDATE,1638237010068,29562
UPDATE,1638237010134,34120
UPDATE,1638237010164,29958
UPDATE,1638237010203,38669
UPDATE,1638237010241,37853
UPDATE,1638237010278,37281
UPDATE,1638237010311,33011
UPDATE,1638237010345,33500
UPDATE,1638237010386,41809
UPDATE,1638237010416,29208
UPDATE,1638237010466,50115
UPDATE,1638237010505,39070
UPDATE,1638237010539,34040
UPDATE,1638237010573,33544
UPDATE,1638237010609,35980
UPDATE,1638237010642,33138
UPDATE,1638237010680,38057
UPDATE,1638237010719,39020
UPDATE,1638237010761,41946
UPDATE,1638237010844,36267
UPDATE,1638237010883,39140
UPDATE,1638237010922,39581
UPDATE,1638237010960,37242
UPDATE,1638237010993,32816
UPDATE,1638237011030,37086
UPDATE,1638237011072,42035
UPDATE,1638237011113,40754
UPDATE,1638237011153,40562
UPDATE,1638237011189,36126
UPDATE,1638237011224,34355
UPDATE,1638237011254,30033
UPDATE,1638237011293,39235
UPDATE,1638237011328,34879
UPDATE,1638237011403,40738
UPDATE,1638237011442,38423
UPDATE,1638237011513,33645
UPDATE,1638237011555,42491
UPDATE,1638237011600,45214
UPDATE,1638237011636,35897
UPDATE,1638237011675,38601
UPDATE,1638237011749,36143
UPDATE,1638237011786,37453
UPDATE,1638237011820,33184
UPDATE,1638237011854,34802
UPDATE,1638237011895,39983
UPDATE,1638237011942,47425
UPDATE,1638237011976,33473
UPDATE,1638237012013,37382
UPDATE,1638237012052,38573
UPDATE,1638237012086,34200
UPDATE,1638237012125,39025
UPDATE,1638237012209,44237
UPDATE,1638237012279,37643
UPDATE,1638237012318,38230
UPDATE,1638237012397,41084
UPDATE,1638237012436,39036
UPDATE,1638237012469,32842
UPDATE,1638237012507,38151
UPDATE,1638237012546,38995
UPDATE,1638237012585,39237
UPDATE,1638237012620,35250
UPDATE,1638237012654,33192
UPDATE,1638237012723,34684
UPDATE,1638237012758,35683
UPDATE,1638237012799,40602
UPDATE,1638237012833,33535
UPDATE,1638237012874,40930
UPDATE,1638237012916,41901
UPDATE,1638237012952,36641
UPDATE,1638237012989,36978
UPDATE,1638237013027,37684
UPDATE,1638237013059,31885
UPDATE,1638237013093,34003
UPDATE,1638237013145,52080
UPDATE,1638237013178,32680
UPDATE,1638237013211,32537
UPDATE,1638237013246,35826
UPDATE,1638237013283,36919
UPDATE,1638237013315,31973
UPDATE,1638237013351,35395
UPDATE,1638237013388,36818
UPDATE,1638237013425,37389
UPDATE,1638237013461,35557
UPDATE,1638237013498,36709
UPDATE,1638237013538,40107
UPDATE,1638237013574,36691
UPDATE,1638237013612,37092
UPDATE,1638237013694,40090
UPDATE,1638237013762,36857
UPDATE,1638237013797,34282
UPDATE,1638237013834,37188
UPDATE,1638237013885,51218
UPDATE,1638237013923,37436
UPDATE,1638237013961,38488
UPDATE,1638237013999,37778
UPDATE,1638237014043,43480
UPDATE,1638237014082,39507
UPDATE,1638237014127,44845
UPDATE,1638237014161,33469
UPDATE,1638237014194,33047
UPDATE,1638237014232,37752
UPDATE,1638237014273,41766
UPDATE,1638237014312,38360
UPDATE,1638237014347,34815
UPDATE,1638237014418,37957
UPDATE,1638237014455,36835
UPDATE,1638237014496,41521
UPDATE,1638237014535,38665
UPDATE,1638237014662,41178
UPDATE,1638237014695,33050
UPDATE,1638237014734,39211
UPDATE,1638237014771,36233
UPDATE,1638237014818,47353
UPDATE,1638237014854,36229
UPDATE,1638237014894,39979
UPDATE,1638237014934,39833
UPDATE,1638237014971,36219
UPDATE,1638237015011,40604
UPDATE,1638237015049,37764
UPDATE,1638237015088,39422
UPDATE,1638237015117,28026
UPDATE,1638237015150,33549
UPDATE,1638237015189,39313
UPDATE,1638237015223,33123
UPDATE,1638237015259,36391
UPDATE,1638237015299,39332
UPDATE,1638237015332,33772
UPDATE,1638237015371,38573
UPDATE,1638237015481,33401
UPDATE,1638237015515,33910
UPDATE,1638237015547,32039
UPDATE,1638237015579,32401
UPDATE,1638237015613,34059
UPDATE,1638237015648,34225
UPDATE,1638237015683,35153
UPDATE,1638237015723,39551
UPDATE,1638237015757,34342
UPDATE,1638237015794,37086
UPDATE,1638237015831,36836
UPDATE,1638237015866,34793
UPDATE,1638237015899,32769
UPDATE,1638237015977,38894
UPDATE,1638237016012,34945
UPDATE,1638237016079,32790
UPDATE,1638237016123,44334
UPDATE,1638237016164,40722
UPDATE,1638237016199,34695
UPDATE,1638237016234,34664
UPDATE,1638237016264,29795
UPDATE,1638237016298,33958
UPDATE,1638237016336,38042
UPDATE,1638237016364,28196
UPDATE,1638237016406,41419
UPDATE,1638237016451,45233
UPDATE,1638237016552,32475
UPDATE,1638237016588,35637
UPDATE,1638237016622,33961
UPDATE,1638237016661,39242
UPDATE,1638237016699,37442
UPDATE,1638237016768,34185
UPDATE,1638237016796,28340
UPDATE,1638237016833,36814
UPDATE,1638237016868,35470
UPDATE,1638237016911,42096
UPDATE,1638237016950,39708
UPDATE,1638237016984,33336
UPDATE,1638237017027,43490
UPDATE,1638237017062,35028
UPDATE,1638237017096,33110
UPDATE,1638237017136,40029
UPDATE,1638237017170,34162
UPDATE,1638237017198,28064
UPDATE,1638237017236,37758
UPDATE,1638237017270,34250
UPDATE,1638237017306,35386
UPDATE,1638237017347,40997
UPDATE,1638237017381,34562
UPDATE,1638237017418,36702
UPDATE,1638237017453,34655
UPDATE,1638237017487,34247
UPDATE,1638237017515,27536
UPDATE,1638237017552,37304
UPDATE,1638237017585,33555
UPDATE,1638237017619,33191
UPDATE,1638237017653,33930
UPDATE,1638237017718,37219
UPDATE,1638237017751,32661
UPDATE,1638237017790,39439
UPDATE,1638237017829,38969
UPDATE,1638237017863,34187
UPDATE,1638237017903,39735
UPDATE,1638237017937,33237
UPDATE,1638237018010,36272
UPDATE,1638237018046,36105
UPDATE,1638237018084,38070
UPDATE,1638237018118,33345
UPDATE,1638237018190,35491
UPDATE,1638237018224,34753
UPDATE,1638237018262,37211
UPDATE,1638237018296,34656
UPDATE,1638237018336,39062
UPDATE,1638237018376,39924
UPDATE,1638237018403,27368
UPDATE,1638237018443,39789
UPDATE,1638237018486,42965
UPDATE,1638237018525,39132
UPDATE,1638237018559,34080
UPDATE,1638237018593,34207
UPDATE,1638237018629,35468
UPDATE,1638237018663,34550
UPDATE,1638237018698,34095
UPDATE,1638237018741,43213
UPDATE,1638237018779,38324
UPDATE,1638237018881,37791
UPDATE,1638237018923,42012
UPDATE,1638237018956,33214
UPDATE,1638237018988,31837
UPDATE,1638237019020,31914
UPDATE,1638237019059,39130
UPDATE,1638237019106,46675
