Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
READ latency raw data: op, timestamp(ms), latency(us)
READ,1638087498951,282489
READ,1638087499019,34501
READ,1638087499054,35351
READ,1638087499168,40301
READ,1638087499302,31582
READ,1638087499372,33013
READ,1638087499455,37419
READ,1638087499521,33298
READ,1638087499560,38995
READ,1638087499622,28910
READ,1638087499685,30058
READ,1638087499795,32276
READ,1638087499829,33548
READ,1638087499930,29237
READ,1638087500034,35656
READ,1638087500102,34080
READ,1638087500137,35062
READ,1638087500176,38962
READ,1638087500209,33407
READ,1638087500325,45471
READ,1638087500396,28567
READ,1638087500432,36816
READ,1638087500654,31819
READ,1638087500756,30854
READ,1638087500788,32800
READ,1638087500977,37910
READ,1638087501051,36158
READ,1638087501155,36149
READ,1638087501226,37041
READ,1638087501263,36822
READ,1638087501332,33214
READ,1638087501365,32654
READ,1638087501399,33674
READ,1638087501429,30440
READ,1638087501581,43623
READ,1638087501681,34052
READ,1638087501753,39210
READ,1638087501787,33227
READ,1638087501824,37622
READ,1638087501930,35502
READ,1638087501966,35577
READ,1638087501999,32975
READ,1638087502072,34411
READ,1638087502101,29732
READ,1638087502347,34336
READ,1638087502453,36251
READ,1638087502491,38227
READ,1638087502535,43684
READ,1638087502572,36966
READ,1638087502606,34857
READ,1638087502670,32723
READ,1638087502738,34687
READ,1638087502769,31701
READ,1638087502807,37256
READ,1638087502840,32928
READ,1638087502876,36847
READ,1638087502951,38521
READ,1638087502988,36110
READ,1638087503058,37728
READ,1638087503097,38491
READ,1638087503132,35185
READ,1638087503206,33981
READ,1638087503386,34872
READ,1638087503472,45970
READ,1638087503609,32517
READ,1638087503640,31240
READ,1638087503761,45782
READ,1638087503830,33669
READ,1638087503895,34540
READ,1638087503930,34922
READ,1638087504004,37681
READ,1638087504066,28796
READ,1638087504309,32952
READ,1638087504338,28915
READ,1638087504370,32061
READ,1638087504442,40768
READ,1638087504480,37975
READ,1638087504513,33084
READ,1638087504551,38028
READ,1638087504589,37706
READ,1638087504626,37122
READ,1638087504663,37432
READ,1638087504692,28285
READ,1638087504723,31046
READ,1638087504760,36954
READ,1638087504867,37622
READ,1638087504903,36036
READ,1638087504941,38025
READ,1638087505049,32896
READ,1638087505081,32526
READ,1638087505184,32525
READ,1638087505222,37666
READ,1638087505323,32236
READ,1638087505396,38729
READ,1638087505431,34981
READ,1638087505503,39890
READ,1638087505576,36453
READ,1638087505646,35749
READ,1638087505682,35671
READ,1638087505711,29598
READ,1638087505748,36842
READ,1638087505782,33244
READ,1638087505818,36841
READ,1638087505855,36782
READ,1638087505924,31482
READ,1638087506062,36806
READ,1638087506173,37642
READ,1638087506231,29042
READ,1638087506331,28279
READ,1638087506536,34711
READ,1638087506638,33740
READ,1638087506953,34863
READ,1638087506987,34181
READ,1638087507023,35410
READ,1638087507074,51815
READ,1638087507143,37952
READ,1638087507175,32755
READ,1638087507322,35133
READ,1638087507422,28299
READ,1638087507458,35913
READ,1638087507563,32494
READ,1638087507600,36689
READ,1638087507707,36493
