Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
CLEANUP latency raw data: op, timestamp(ms), latency(us)
CLEANUP,1638085569772,1
UPDATE latency raw data: op, timestamp(ms), latency(us)
UPDATE,1638085535086,291066
UPDATE,1638085535123,37445
UPDATE,1638085535197,73461
UPDATE,1638085535231,33839
UPDATE,1638085535262,31759
UPDATE,1638085535296,33114
UPDATE,1638085535332,35997
UPDATE,1638085535363,31256
UPDATE,1638085535400,36574
UPDATE,1638085535433,33200
UPDATE,1638085535468,35470
UPDATE,1638085535508,40117
UPDATE,1638085535540,30964
UPDATE,1638085535575,35116
UPDATE,1638085535608,33018
UPDATE,1638085535643,34979
UPDATE,1638085535679,36098
UPDATE,1638085535714,35211
UPDATE,1638085535751,36920
UPDATE,1638085535789,37370
UPDATE,1638085535825,36335
UPDATE,1638085535864,38506
UPDATE,1638085535899,35602
UPDATE,1638085535936,36759
UPDATE,1638085535972,36159
UPDATE,1638085536010,37567
UPDATE,1638085536042,32349
UPDATE,1638085536077,34906
UPDATE,1638085536112,35063
UPDATE,1638085536148,35699
UPDATE,1638085536184,35449
UPDATE,1638085536226,42104
UPDATE,1638085536269,43106
UPDATE,1638085536304,35415
UPDATE,1638085536340,35509
UPDATE,1638085536379,39201
UPDATE,1638085536414,35114
UPDATE,1638085536451,36584
UPDATE,1638085536492,41087
UPDATE,1638085536524,32036
UPDATE,1638085536558,33242
UPDATE,1638085536593,35896
UPDATE,1638085536631,37939
UPDATE,1638085536668,36118
UPDATE,1638085536704,36303
UPDATE,1638085536736,32173
UPDATE,1638085536769,32708
UPDATE,1638085536805,35564
UPDATE,1638085536840,35341
UPDATE,1638085536873,32554
UPDATE,1638085536908,35419
UPDATE,1638085536944,35944
UPDATE,1638085536973,28526
UPDATE,1638085537006,32908
UPDATE,1638085537038,32558
UPDATE,1638085537073,35007
UPDATE,1638085537109,35910
UPDATE,1638085537146,36245
UPDATE,1638085537181,35242
UPDATE,1638085537216,35137
