Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
READ latency raw data: op, timestamp(ms), latency(us)
READ,1638086358191,181142
READ,1638086358226,35612
READ,1638086358262,35812
READ,1638086358299,36348
READ,1638086358337,38725
READ,1638086358376,38468
READ,1638086358408,32017
READ,1638086358452,43754
READ,1638086358488,36254
READ,1638086358531,43235
READ,1638086358571,39343
READ,1638086358609,38385
READ,1638086358650,41135
READ,1638086358692,41404
READ,1638086358723,31424
READ,1638086358758,34439
READ,1638086358791,33198
READ,1638086358828,37185
READ,1638086358860,31949
READ,1638086358895,34930
READ,1638086358928,32912
READ,1638086358965,36560
READ,1638086359004,39076
READ,1638086359040,36407
READ,1638086359074,34027
READ,1638086359113,38981
READ,1638086359149,35651
READ,1638086359190,40964
READ,1638086359226,36396
READ,1638086359262,35810
READ,1638086359297,34258
READ,1638086359341,44656
READ,1638086359376,34905
READ,1638086359411,35005
READ,1638086359445,33926
READ,1638086359478,32322
READ,1638086359512,34607
READ,1638086359545,32774
READ,1638086359576,30600
READ,1638086359608,32618
READ,1638086359642,33246
READ,1638086359679,36925
READ,1638086359711,32716
READ,1638086359750,38466
READ,1638086359786,36047
READ,1638086359821,35339
READ,1638086359856,34876
READ,1638086359891,34681
READ,1638086359924,33090
READ,1638086359955,30717
READ,1638086359988,32888
READ,1638086360027,38777
READ,1638086360060,33082
READ,1638086360095,34622
READ,1638086360127,32405
READ,1638086360159,32305
READ,1638086360192,32227
READ,1638086360241,49385
READ,1638086360275,33883
READ,1638086360310,34765
READ,1638086360349,39223
READ,1638086360379,29583
READ,1638086360414,35609
READ,1638086360451,36718
READ,1638086360487,35653
READ,1638086360520,33504
READ,1638086360561,40135
READ,1638086360599,38770
READ,1638086360636,36617
READ,1638086360680,43666
READ,1638086360718,37849
READ,1638086360752,33786
READ,1638086360783,31504
READ,1638086360819,35372
READ,1638086360858,39467
READ,1638086360892,33679
READ,1638086360929,37220
READ,1638086360962,33073
READ,1638086360997,34388
READ,1638086361032,35130
READ,1638086361067,35136
READ,1638086361105,37932
READ,1638086361139,33886
READ,1638086361173,34271
READ,1638086361206,33123
READ,1638086361242,35684
READ,1638086361275,32645
READ,1638086361313,38110
READ,1638086361346,33160
READ,1638086361376,29575
READ,1638086361408,32424
READ,1638086361444,36096
READ,1638086361484,39687
READ,1638086361513,29249
READ,1638086361549,35961
