Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
READ latency raw data: op, timestamp(ms), latency(us)
READ,1638088335568,40915
READ,1638088335641,41154
READ,1638088335820,38316
READ,1638088335965,41568
READ,1638088336014,48258
READ,1638088336092,40321
READ,1638088336127,34754
READ,1638088336165,38775
READ,1638088336204,38846
READ,1638088336243,38328
READ,1638088336306,29435
READ,1638088336344,37767
READ,1638088336381,36950
READ,1638088336452,38584
READ,1638088336592,37037
READ,1638088336661,37176
READ,1638088336697,36437
READ,1638088336777,46070
READ,1638088336819,41463
READ,1638088336855,36778
READ,1638088336892,36042
READ,1638088337034,33136
READ,1638088337071,36149
READ,1638088337343,39956
READ,1638088337481,40167
READ,1638088337587,39122
READ,1638088337760,33708
READ,1638088337806,45531
READ,1638088337903,31066
READ,1638088337939,35536
READ,1638088337977,37575
READ,1638088338012,35323
READ,1638088338078,32207
READ,1638088338119,40114
READ,1638088338164,45874
READ,1638088338283,44953
READ,1638088338361,40943
READ,1638088338477,41886
READ,1638088338609,30197
READ,1638088338650,41612
READ,1638088338684,32616
READ,1638088338753,39290
READ,1638088338788,34968
READ,1638088338849,27799
READ,1638088338920,38793
READ,1638088339020,33247
READ,1638088339183,33529
READ,1638088339253,37035
READ,1638088339289,35473
READ,1638088339326,37185
READ,1638088339358,32151
READ,1638088339431,38725
READ,1638088339606,34714
READ,1638088339644,37913
READ,1638088339680,35626
READ,1638088339743,29129
READ,1638088339807,32086
READ,1638088339951,33201
READ,1638088339987,36841
READ,1638088340021,33853
READ,1638088340168,40679
READ,1638088340200,32612
READ,1638088340232,31705
READ,1638088340266,34317
READ,1638088340301,34243
READ,1638088340445,33922
READ,1638088340622,34876
READ,1638088340658,35751
READ,1638088340703,45084
READ,1638088340738,34923
READ,1638088340844,34499
READ,1638088340883,39162
READ,1638088341134,38299
READ,1638088341213,47198
READ,1638088341246,32548
READ,1638088341316,36703
READ,1638088341352,36241
READ,1638088341388,35708
READ,1638088341626,31688
READ,1638088341661,35261
READ,1638088341767,37592
READ,1638088341802,34659
READ,1638088341838,36088
READ,1638088341937,33279
READ,1638088341973,35966
READ,1638088342039,33406
READ,1638088342076,36903
READ,1638088342184,38368
READ,1638088342221,36979
READ,1638088342288,30487
READ,1638088342327,38934
READ,1638088342395,37960
READ,1638088342609,36436
READ,1638088342681,36743
READ,1638088342719,37725
READ,1638088342902,40529
READ,1638088343075,39770
READ,1638088343197,42600
READ,1638088343236,39099
READ,1638088343277,40715
READ,1638088343314,37047
READ,1638088343351,36283
READ,1638088343383,32713
READ,1638088343421,37177
READ,1638088343488,33179
READ,1638088343523,34751
READ,1638088343559,35532
READ,1638088343594,34829
READ,1638088343640,46837
READ,1638088343707,31660
READ,1638088343745,37420
READ,1638088343883,36761
READ,1638088343921,37440
READ,1638088343957,36617
READ,1638088344062,33012
READ,1638088344164,29491
READ,1638088344240,40230
READ,1638088344306,32703
READ,1638088344346,39480
READ,1638088344455,36500
READ,1638088344487,32666
READ,1638088344562,38479
READ,1638088344598,35777
READ,1638088344703,33720
READ,1638088344816,32876
READ,1638088344887,34804
READ,1638088344991,36891
READ,1638088345064,37450
READ,1638088345100,35718
