Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
READ latency raw data: op, timestamp(ms), latency(us)
READ,1638087863884,71168
READ,1638087863933,48199
READ,1638087863975,42856
READ,1638087864016,40606
READ,1638087864053,36529
READ,1638087864088,34847
READ,1638087864126,38744
READ,1638087864161,34672
READ,1638087864196,35145
READ,1638087864230,34071
READ,1638087864268,37412
READ,1638087864303,35491
READ,1638087864338,34675
READ,1638087864380,41830
READ,1638087864417,37058
READ,1638087864456,38917
READ,1638087864490,33722
READ,1638087864525,35277
READ,1638087864561,36394
READ,1638087864593,31624
READ,1638087864627,34067
READ,1638087864665,37844
READ,1638087864701,35787
READ,1638087864734,32764
READ,1638087864768,34279
READ,1638087864812,43399
READ,1638087864850,38335
READ,1638087864886,36360
READ,1638087864922,36022
READ,1638087864957,34174
READ,1638087864995,38665
READ,1638087865030,34203
READ,1638087865067,37222
READ,1638087865100,33295
READ,1638087865134,33864
READ,1638087865170,35504
READ,1638087865207,37778
READ,1638087865243,35371
READ,1638087865281,38428
READ,1638087865320,38229
READ,1638087865358,38222
READ,1638087865395,37264
READ,1638087865435,39480
READ,1638087865471,36537
READ,1638087865507,35597
READ,1638087865546,39485
READ,1638087865584,37978
READ,1638087865620,35505
READ,1638087865658,37644
READ,1638087865695,37602
READ,1638087865738,42447
READ,1638087865777,38883
READ,1638087865813,36442
READ,1638087865849,36147
READ,1638087865886,36130
READ,1638087865921,35823
READ,1638087865956,34871
READ,1638087865991,34961
READ,1638087866024,32994
READ,1638087866058,33853
READ,1638087866092,33836
READ,1638087866131,38474
READ,1638087866165,34127
READ,1638087866205,39751
READ,1638087866238,33269
READ,1638087866274,35792
READ,1638087866305,31544
READ,1638087866337,31691
READ,1638087866375,37284
READ,1638087866411,36634
READ,1638087866446,35125
READ,1638087866481,34934
READ,1638087866517,35554
READ,1638087866558,41081
READ,1638087866592,33973
READ,1638087866626,33521
READ,1638087866661,35455
READ,1638087866694,33043
READ,1638087866733,38714
READ,1638087866768,35223
READ,1638087866802,33569
READ,1638087866847,44703
READ,1638087866880,33463
READ,1638087866916,35620
READ,1638087866951,35184
READ,1638087866990,38794
READ,1638087867026,36094
READ,1638087867066,39601
READ,1638087867100,34264
READ,1638087867135,34840
READ,1638087867171,36485
READ,1638087867217,45528
READ,1638087867260,42704
READ,1638087867294,33993
READ,1638087867330,36546
READ,1638087867364,33311
READ,1638087867399,35288
READ,1638087867437,38042
READ,1638087867475,38298
READ,1638087867510,34250
READ,1638087867544,34258
READ,1638087867579,34841
READ,1638087867624,44756
READ,1638087867662,38236
READ,1638087867701,38508
READ,1638087867735,34689
READ,1638087867783,47376
READ,1638087867822,38898
READ,1638087867863,41497
READ,1638087867899,36108
READ,1638087867930,30572
READ,1638087867965,35294
READ,1638087868004,39128
READ,1638087868042,37849
READ,1638087868080,37362
READ,1638087868116,36623
READ,1638087868154,37853
READ,1638087868188,33564
READ,1638087868225,36970
READ,1638087868264,38904
READ,1638087868297,32919
READ,1638087868337,40225
READ,1638087868372,34874
READ,1638087868408,35605
READ,1638087868444,35958
READ,1638087868482,37975
READ,1638087868517,34928
READ,1638087868552,35007
READ,1638087868592,39674
READ,1638087868633,41546
READ,1638087868670,36660
READ,1638087868712,42228
READ,1638087868747,35243
READ,1638087868782,34797
READ,1638087868821,38793
READ,1638087868868,46889
READ,1638087868903,35180
READ,1638087868941,38022
READ,1638087868975,33228
READ,1638087869010,35399
READ,1638087869049,38454
READ,1638087869084,35111
READ,1638087869121,37221
READ,1638087869155,33749
READ,1638087869190,35582
READ,1638087869225,34868
READ,1638087869260,35109
READ,1638087869300,39468
READ,1638087869337,37353
READ,1638087869371,33852
READ,1638087869406,34985
READ,1638087869442,35421
READ,1638087869475,33396
READ,1638087869508,33160
READ,1638087869551,42325
READ,1638087869585,33796
READ,1638087869624,39053
READ,1638087869661,37211
READ,1638087869701,39985
READ,1638087869738,37299
READ,1638087869776,37692
READ,1638087869812,35690
READ,1638087869847,35665
READ,1638087869882,33966
READ,1638087869916,34030
READ,1638087869952,35901
READ,1638087869987,35914
READ,1638087870023,35067
READ,1638087870057,34134
READ,1638087870097,39734
READ,1638087870131,34865
READ,1638087870168,36805
READ,1638087870204,36038
READ,1638087870240,35264
READ,1638087870275,35218
READ,1638087870314,39063
READ,1638087870349,35273
READ,1638087870393,43516
READ,1638087870428,34916
READ,1638087870465,37444
READ,1638087870509,43608
READ,1638087870543,34181
READ,1638087870582,38231
READ,1638087870616,34633
READ,1638087870655,38822
READ,1638087870686,30956
READ,1638087870723,36935
READ,1638087870764,41135
READ,1638087870801,37121
READ,1638087870835,33669
READ,1638087870868,32724
READ,1638087870906,38217
READ,1638087870939,33089
READ,1638087870973,34100
READ,1638087871007,33782
READ,1638087871042,34603
READ,1638087871077,34954
READ,1638087871114,37137
READ,1638087871151,36729
READ,1638087871187,36200
READ,1638087871225,38312
READ,1638087871261,35644
READ,1638087871297,36096
READ,1638087871334,36267
READ,1638087871370,36339
READ,1638087871405,34702
READ,1638087871442,37138
READ,1638087871482,39791
READ,1638087871515,33332
READ,1638087871550,34913
READ,1638087871585,34507
READ,1638087871619,34807
READ,1638087871654,34669
READ,1638087871686,31500
READ,1638087871721,35871
READ,1638087871761,39544
READ,1638087871796,35058
READ,1638087871830,34234
READ,1638087871878,47545
READ,1638087871913,35078
READ,1638087871948,35223
READ,1638087871990,41365
READ,1638087872024,34296
READ,1638087872058,33503
READ,1638087872096,37462
READ,1638087872134,37915
READ,1638087872168,34349
READ,1638087872204,35345
READ,1638087872238,34126
READ,1638087872279,41042
READ,1638087872317,37909
READ,1638087872351,34386
READ,1638087872389,37225
READ,1638087872424,35330
READ,1638087872461,37170
READ,1638087872495,33910
READ,1638087872532,36600
READ,1638087872567,35556
READ,1638087872604,36185
READ,1638087872640,35835
READ,1638087872681,41524
READ,1638087872718,36691
READ,1638087872756,37623
READ,1638087872792,36917
READ,1638087872825,32323
READ,1638087872863,38014
READ,1638087872899,35981
READ,1638087872933,34362
READ,1638087872967,33689
READ,1638087873002,34683
READ,1638087873036,34091
READ,1638087873068,32257
READ,1638087873105,36429
READ,1638087873139,34298
READ,1638087873173,34354
READ,1638087873209,35389
READ,1638087873243,33909
READ,1638087873280,36990
READ,1638087873314,34111
READ,1638087873350,35842
READ,1638087873384,33834
READ,1638087873419,34953
READ,1638087873454,35232
READ,1638087873493,38614
READ,1638087873528,34976
READ,1638087873561,33749
READ,1638087873597,35877
READ,1638087873631,33354
READ,1638087873666,35664
READ,1638087873701,34168
READ,1638087873744,42969
READ,1638087873781,37405
READ,1638087873816,34708
READ,1638087873851,35171
READ,1638087873886,34714
READ,1638087873920,33835
READ,1638087873953,33462
READ,1638087873987,34092
READ,1638087874025,37599
READ,1638087874060,35007
READ,1638087874097,37113
READ,1638087874134,37094
READ,1638087874170,35538
READ,1638087874206,35841
READ,1638087874245,38806
READ,1638087874281,36533
READ,1638087874316,35154
READ,1638087874353,37109
READ,1638087874389,35208
READ,1638087874424,35720
READ,1638087874461,36051
READ,1638087874497,36243
READ,1638087874532,35489
READ,1638087874567,34764
READ,1638087874602,35301
READ,1638087874637,34761
READ,1638087874671,33933
READ,1638087874707,36024
READ,1638087874741,33723
READ,1638087874778,36724
READ,1638087874819,40652
READ,1638087874859,40787
READ,1638087874893,34097
READ,1638087874928,34677
READ,1638087874962,34046
READ,1638087875002,39864
READ,1638087875041,38613
READ,1638087875074,33148
READ,1638087875108,34385
READ,1638087875145,36907
READ,1638087875190,44819
READ,1638087875228,37550
READ,1638087875262,34363
READ,1638087875303,41012
READ,1638087875344,40631
READ,1638087875380,36467
READ,1638087875413,32844
READ,1638087875449,35338
READ,1638087875487,38215
READ,1638087875521,34000
READ,1638087875558,36741
READ,1638087875592,34707
READ,1638087875629,36708
READ,1638087875663,33471
READ,1638087875699,35929
READ,1638087875733,34668
READ,1638087875769,35311
READ,1638087875805,35753
READ,1638087875844,39206
READ,1638087875880,35904
READ,1638087875915,35164
READ,1638087875954,38742
READ,1638087875989,34879
READ,1638087876024,35529
READ,1638087876061,36826
READ,1638087876096,35199
READ,1638087876136,39408
READ,1638087876171,35718
READ,1638087876206,34866
READ,1638087876241,34989
READ,1638087876275,33811
READ,1638087876312,37006
READ,1638087876347,34463
READ,1638087876378,31309
READ,1638087876410,31784
READ,1638087876448,37553
READ,1638087876482,34059
READ,1638087876517,35692
READ,1638087876558,40397
READ,1638087876592,34090
READ,1638087876629,37356
READ,1638087876667,37513
READ,1638087876702,35269
READ,1638087876736,33951
READ,1638087876776,39481
READ,1638087876812,36257
READ,1638087876852,39888
READ,1638087876892,39943
READ,1638087876930,37776
READ,1638087876964,34152
READ,1638087876998,33965
READ,1638087877032,34217
READ,1638087877068,36141
READ,1638087877106,37375
READ,1638087877148,42688
READ,1638087877182,33632
READ,1638087877217,34810
READ,1638087877251,33971
READ,1638087877286,35040
READ,1638087877323,36822
READ,1638087877357,34204
READ,1638087877394,37021
READ,1638087877431,36860
READ,1638087877466,35014
READ,1638087877507,40691
READ,1638087877550,42604
READ,1638087877588,38353
READ,1638087877626,37936
READ,1638087877661,34873
READ,1638087877698,37604
READ,1638087877741,42095
READ,1638087877780,39225
READ,1638087877814,34472
READ,1638087877854,39746
READ,1638087877890,35563
READ,1638087877927,37208
READ,1638087877962,34500
READ,1638087877998,36301
READ,1638087878031,32876
READ,1638087878074,43173
READ,1638087878109,35192
READ,1638087878144,34093
READ,1638087878179,35357
READ,1638087878215,36352
READ,1638087878249,34096
READ,1638087878289,39360
READ,1638087878329,39694
READ,1638087878367,38373
READ,1638087878405,37920
READ,1638087878441,36344
READ,1638087878477,35921
READ,1638087878512,34823
READ,1638087878553,40977
READ,1638087878590,37131
READ,1638087878627,36991
READ,1638087878670,42745
READ,1638087878705,34461
READ,1638087878739,34587
READ,1638087878774,34299
READ,1638087878806,32285
READ,1638087878843,37338
READ,1638087878886,42407
READ,1638087878917,31122
READ,1638087878952,34851
READ,1638087878991,39672
READ,1638087879045,53819
READ,1638087879080,34923
READ,1638087879115,34622
READ,1638087879152,36628
READ,1638087879186,34125
READ,1638087879220,34580
READ,1638087879256,35485
READ,1638087879293,37557
READ,1638087879327,33996
READ,1638087879365,37520
READ,1638087879404,38753
READ,1638087879440,35722
READ,1638087879475,35768
READ,1638087879511,35220
READ,1638087879546,35618
READ,1638087879581,34706
READ,1638087879615,34463
READ,1638087879653,37379
READ,1638087879688,34997
READ,1638087879723,34571
READ,1638087879758,35810
READ,1638087879792,33596
READ,1638087879829,36870
READ,1638087879866,36606
READ,1638087879905,39401
READ,1638087879942,37072
READ,1638087879977,34862
READ,1638087880009,31515
READ,1638087880041,32111
READ,1638087880080,39661
READ,1638087880116,36054
READ,1638087880150,33542
READ,1638087880186,35522
READ,1638087880220,34702
READ,1638087880253,32681
READ,1638087880287,34149
READ,1638087880325,38212
READ,1638087880359,33347
READ,1638087880394,34931
READ,1638087880428,34191
READ,1638087880461,33180
READ,1638087880499,38006
READ,1638087880541,42061
READ,1638087880586,44769
READ,1638087880621,34553
READ,1638087880656,34705
READ,1638087880689,33640
READ,1638087880727,38194
READ,1638087880766,38269
READ,1638087880798,32398
READ,1638087880832,33449
READ,1638087880868,36786
READ,1638087880907,38241
READ,1638087880940,33711
READ,1638087880978,37567
READ,1638087881013,34454
READ,1638087881048,35811
READ,1638087881083,34855
READ,1638087881123,39889
READ,1638087881156,33091
READ,1638087881189,32734
READ,1638087881226,36342
READ,1638087881261,35373
READ,1638087881296,34896
READ,1638087881332,35666
READ,1638087881366,34453
READ,1638087881401,35299
READ,1638087881437,35651
READ,1638087881472,34916
READ,1638087881518,45889
READ,1638087881561,43494
READ,1638087881596,34082
READ,1638087881635,39149
READ,1638087881669,34627
READ,1638087881703,33854
READ,1638087881743,39653
READ,1638087881778,34639
READ,1638087881816,38408
READ,1638087881852,36012
READ,1638087881888,35392
READ,1638087881923,34873
READ,1638087881958,35738
READ,1638087881996,37454
READ,1638087882032,35672
READ,1638087882069,37052
READ,1638087882105,36529
READ,1638087882141,35729
READ,1638087882176,34723
READ,1638087882217,41456
READ,1638087882255,37699
READ,1638087882297,41750
READ,1638087882329,32248
READ,1638087882371,42007
READ,1638087882410,39268
READ,1638087882444,34077
READ,1638087882479,35041
READ,1638087882516,36500
READ,1638087882554,37580
READ,1638087882593,38775
READ,1638087882629,36352
READ,1638087882664,34594
READ,1638087882699,35770
READ,1638087882733,33742
READ,1638087882768,35204
READ,1638087882804,35466
READ,1638087882841,37359
READ,1638087882878,36156
READ,1638087882913,35007
READ,1638087882945,32732
READ,1638087882975,30026
READ,1638087883009,34021
READ,1638087883049,39291
READ,1638087883085,36187
READ,1638087883122,36959
READ,1638087883156,33784
READ,1638087883190,34341
READ,1638087883225,35152
READ,1638087883260,34362
READ,1638087883297,36893
READ,1638087883332,35396
READ,1638087883366,34330
READ,1638087883405,38863
READ,1638087883441,36089
READ,1638087883478,36818
