Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
READ latency raw data: op, timestamp(ms), latency(us)
READ,1638088895491,46260
READ,1638088895914,40041
READ,1638088896036,32043
READ,1638088896346,39377
READ,1638088896646,40480
READ,1638088896773,40739
READ,1638088897208,34593
READ,1638088897655,36876
READ,1638088897786,39263
READ,1638088898678,31105
READ,1638088898983,34996
READ,1638088899017,33637
READ,1638088900285,37080
READ,1638088900371,42843
READ,1638088900577,37168
READ,1638088901351,36117
READ,1638088901738,38264
READ,1638088902900,34597
READ,1638088903020,37964
READ,1638088904629,40185
READ,1638088904842,36264
READ,1638088904970,30423
READ,1638088905007,37535
READ,1638088906054,36626
READ,1638088906137,38084
READ,1638088906174,36893
READ,1638088906687,33404
READ,1638088906767,38216
READ,1638088906802,34697
READ,1638088906839,36522
READ,1638088906877,38609
READ,1638088907387,39300
READ,1638088907899,35282
READ,1638088907939,39650
READ,1638088908511,38065
READ,1638088908739,32800
READ,1638088909082,37197
READ,1638088909995,37998
READ,1638088910370,39672
READ,1638088910736,39245
READ,1638088911089,34446
READ,1638088911386,32718
READ,1638088911636,39681
READ,1638088912345,35891
READ,1638088913094,38006
READ,1638088913265,35635
READ,1638088913571,34282
READ,1638088914078,38184
READ,1638088915063,30902
READ,1638088915401,33495
READ,1638088915431,30617
READ,1638088916363,34803
READ,1638088916487,32719
READ,1638088916976,32480
READ,1638088917988,40721
READ,1638088918596,38974
READ,1638088918630,34328
READ,1638088919587,30821
READ,1638088919627,39838
READ,1638088921483,34336
READ,1638088921605,37021
READ,1638088922760,45444
READ,1638088923317,36623
READ,1638088923580,34590
READ,1638088924444,33607
READ,1638088924821,36373
READ,1638088924852,31173
READ,1638088924911,58290
READ,1638088925147,66766
READ,1638088926103,40620
READ,1638088926227,43210
READ,1638088926432,35477
READ,1638088926470,38084
READ,1638088926556,39556
READ,1638088926673,32967
READ,1638088927258,43907
READ,1638088927999,32853
READ,1638088928392,33608
READ,1638088928932,37415
READ,1638088929200,43099
READ,1638088929238,37698
READ,1638088929719,40740
READ,1638088930439,41919
READ,1638088931760,35628
READ,1638088932012,34590
READ,1638088932180,34855
READ,1638088932336,33136
READ,1638088932457,37736
READ,1638088932724,35879
READ,1638088933313,38190
READ,1638088933584,39879
READ,1638088933623,38991
READ,1638088933829,35844
READ,1638088934038,31252
READ,1638088934985,32358
READ,1638088935445,38044
READ,1638088935482,37415
READ,1638088935827,35965
READ,1638088936348,37348
READ,1638088936386,37797
READ,1638088937192,37971
READ,1638088938050,29815
CLEANUP latency raw data: op, timestamp(ms), latency(us)
CLEANUP,1638088938815,1
INSERT latency raw data: op, timestamp(ms), latency(us)
INSERT,1638088894919,378074
INSERT,1638088895032,112716
INSERT,1638088895091,58879
INSERT,1638088895203,111284
INSERT,1638088895250,46981
INSERT,1638088895295,44782
INSERT,1638088895349,53844
INSERT,1638088895445,95612
INSERT,1638088895541,49086
INSERT,1638088895653,111834
INSERT,1638088895700,46814
INSERT,1638088895742,42506
INSERT,1638088895787,44422
INSERT,1638088895831,44190
INSERT,1638088895874,42400
INSERT,1638088895960,45384
INSERT,1638088896004,43818
INSERT,1638088896082,46375
INSERT,1638088896126,43043
INSERT,1638088896171,45214
INSERT,1638088896216,44691
INSERT,1638088896260,44363
INSERT,1638088896307,46437
INSERT,1638088896390,43490
INSERT,1638088896435,44345
INSERT,1638088896478,43073
INSERT,1638088896518,39688
INSERT,1638088896563,44810
INSERT,1638088896605,42246
INSERT,1638088896687,41178
INSERT,1638088896732,44736
INSERT,1638088896814,41108
INSERT,1638088896854,39421
INSERT,1638088896896,42489
INSERT,1638088896941,44685
INSERT,1638088896982,40373
INSERT,1638088897025,43431
INSERT,1638088897068,42001
INSERT,1638088897112,44132
INSERT,1638088897173,61038
INSERT,1638088897260,51657
INSERT,1638088897305,44780
INSERT,1638088897345,40182
INSERT,1638088897394,48603
INSERT,1638088897439,45050
INSERT,1638088897480,40701
INSERT,1638088897524,43694
INSERT,1638088897577,53252
INSERT,1638088897618,40691
INSERT,1638088897699,44003
INSERT,1638088897747,47713
INSERT,1638088897828,41140
INSERT,1638088897868,39907
INSERT,1638088897915,46063
INSERT,1638088897958,43055
INSERT,1638088898001,42120
INSERT,1638088898042,40813
INSERT,1638088898082,39712
INSERT,1638088898124,42611
INSERT,1638088898172,47472
INSERT,1638088898215,42227
INSERT,1638088898255,40350
INSERT,1638088898296,40388
INSERT,1638088898340,44340
INSERT,1638088898385,44611
INSERT,1638088898427,41322
INSERT,1638088898469,42135
INSERT,1638088898514,44551
INSERT,1638088898555,41185
INSERT,1638088898598,43005
INSERT,1638088898647,48040
INSERT,1638088898721,43337
INSERT,1638088898766,44329
INSERT,1638088898812,45593
INSERT,1638088898859,47283
INSERT,1638088898903,43525
INSERT,1638088898948,45090
INSERT,1638088899058,41452
INSERT,1638088899111,52601
INSERT,1638088899151,39886
INSERT,1638088899194,42452
INSERT,1638088899240,45457
INSERT,1638088899285,45203
INSERT,1638088899331,45478
INSERT,1638088899379,48294
INSERT,1638088899423,43733
INSERT,1638088899466,42501
INSERT,1638088899509,43197
INSERT,1638088899553,43524
INSERT,1638088899598,45308
INSERT,1638088899645,46621
INSERT,1638088899688,42513
INSERT,1638088899732,44162
INSERT,1638088899780,47609
INSERT,1638088899829,49244
INSERT,1638088899873,43394
INSERT,1638088899923,49820
INSERT,1638088899979,55697
INSERT,1638088900022,43380
INSERT,1638088900069,46990
INSERT,1638088900111,41302
INSERT,1638088900157,45982
INSERT,1638088900201,43878
INSERT,1638088900247,46545
INSERT,1638088900328,43385
INSERT,1638088900416,44852
INSERT,1638088900456,40460
INSERT,1638088900500,43158
INSERT,1638088900539,39596
INSERT,1638088900620,43421
INSERT,1638088900664,43451
