Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
CLEANUP latency raw data: op, timestamp(ms), latency(us)
CLEANUP,1638093079325,1
UPDATE latency raw data: op, timestamp(ms), latency(us)
UPDATE,1638093044573,48547
UPDATE,1638093044639,65529
UPDATE,1638093044677,37767
UPDATE,1638093044718,41401
UPDATE,1638093044752,34334
UPDATE,1638093044790,37697
UPDATE,1638093044832,41542
UPDATE,1638093044868,35721
UPDATE,1638093044904,35986
UPDATE,1638093044938,34307
UPDATE,1638093044976,38272
UPDATE,1638093045013,36386
UPDATE,1638093045043,30545
UPDATE,1638093045081,37891
UPDATE,1638093045116,34891
UPDATE,1638093045161,44878
UPDATE,1638093045193,31894
UPDATE,1638093045237,43685
UPDATE,1638093045274,37101
UPDATE,1638093045311,36501
UPDATE,1638093045348,36849
UPDATE,1638093045383,35629
UPDATE,1638093045419,35772
UPDATE,1638093045456,36714
UPDATE,1638093045493,37581
UPDATE,1638093045535,41555
UPDATE,1638093045571,35464
UPDATE,1638093045606,35245
UPDATE,1638093045643,36633
UPDATE,1638093045679,35892
UPDATE,1638093045712,33400
UPDATE,1638093045747,34627
UPDATE,1638093045782,35539
UPDATE,1638093045819,37048
UPDATE,1638093045856,36646
UPDATE,1638093045893,37133
UPDATE,1638093045928,34799
UPDATE,1638093045965,36859
UPDATE,1638093046004,38452
UPDATE,1638093046039,34970
UPDATE,1638093046075,35939
UPDATE,1638093046111,36610
UPDATE,1638093046149,37660
UPDATE,1638093046183,33918
UPDATE,1638093046220,37128
UPDATE,1638093046259,38367
UPDATE,1638093046292,33882
UPDATE,1638093046329,36365
UPDATE,1638093046366,36576
UPDATE,1638093046405,39561
UPDATE,1638093046441,35777
UPDATE,1638093046473,32409
UPDATE,1638093046509,35951
UPDATE,1638093046547,37504
UPDATE,1638093046580,33015
UPDATE,1638093046618,37429
UPDATE,1638093046653,35171
UPDATE,1638093046691,37838
UPDATE,1638093046726,35533
UPDATE,1638093046763,36231
UPDATE,1638093046795,32594
UPDATE,1638093046832,36530
UPDATE,1638093046866,34593
UPDATE,1638093046902,35092
UPDATE,1638093046934,32454
UPDATE,1638093046974,40194
UPDATE,1638093047005,30105
UPDATE,1638093047042,37372
UPDATE,1638093047078,35528
UPDATE,1638093047113,35121
UPDATE,1638093047150,36836
UPDATE,1638093047183,33512
UPDATE,1638093047217,33951
UPDATE,1638093047251,33540
UPDATE,1638093047290,39136
UPDATE,1638093047325,35243
UPDATE,1638093047362,37051
UPDATE,1638093047396,33876
UPDATE,1638093047434,37379
UPDATE,1638093047471,37136
UPDATE,1638093047506,34845
UPDATE,1638093047539,33302
UPDATE,1638093047572,32406
UPDATE,1638093047608,36582
UPDATE,1638093047640,31900
UPDATE,1638093047677,36407
UPDATE,1638093047713,36142
UPDATE,1638093047742,28509
UPDATE,1638093047770,28057
UPDATE,1638093047809,39078
UPDATE,1638093047846,37522
UPDATE,1638093047882,35195
UPDATE,1638093047916,34464
UPDATE,1638093047953,37195
UPDATE,1638093047992,38650
UPDATE,1638093048030,37701
UPDATE,1638093048064,33957
UPDATE,1638093048100,36069
UPDATE,1638093048134,34390
UPDATE,1638093048171,36092
UPDATE,1638093048204,33160
UPDATE,1638093048235,31131
UPDATE,1638093048270,34912
UPDATE,1638093048305,34759
UPDATE,1638093048337,31787
UPDATE,1638093048374,37132
UPDATE,1638093048407,33068
UPDATE,1638093048442,35138
UPDATE,1638093048475,33209
UPDATE,1638093048514,38198
UPDATE,1638093048550,36119
UPDATE,1638093048587,36768
UPDATE,1638093048622,35470
UPDATE,1638093048656,33837
UPDATE,1638093048695,39237
