Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
READ latency raw data: op, timestamp(ms), latency(us)
READ,1638094017858,264192
READ,1638094017971,113099
READ,1638094018905,99651
READ,1638094019097,117082
READ,1638094019141,43902
READ,1638094019179,37245
READ,1638094019224,45379
READ,1638094019510,97607
READ,1638094019547,37628
READ,1638094019586,38153
READ,1638094019623,37188
READ,1638094019658,34941
READ,1638094019767,108918
READ,1638094019884,41565
READ,1638094019954,70427
READ,1638094020197,76179
READ,1638094020263,66260
READ,1638094020379,40813
READ,1638094020448,68584
READ,1638094020562,42016
READ,1638094020937,72090
READ,1638094021001,63558
READ,1638094021182,39434
READ,1638094021290,108109
READ,1638094021356,66236
READ,1638094021550,102113
READ,1638094021851,69556
READ,1638094022183,105618
READ,1638094022306,123030
READ,1638094022566,105490
READ,1638094022665,99526
READ,1638094022978,69823
READ,1638094023050,72348
READ,1638094023095,44458
READ,1638094023162,67477
READ,1638094023205,42982
READ,1638094023502,71170
READ,1638094023600,97440
READ,1638094023641,41475
READ,1638094023817,103052
READ,1638094023959,69125
READ,1638094024102,65118
READ,1638094024253,74154
READ,1638094024330,77519
READ,1638094024469,66493
READ,1638094024569,100100
READ,1638094024669,99214
READ,1638094024705,36608
READ,1638094024809,103800
READ,1638094025068,108654
READ,1638094025169,101320
READ,1638094025419,69165
READ,1638094025524,104124
READ,1638094025847,89744
READ,1638094025989,71548
READ,1638094026236,99763
READ,1638094026408,99306
READ,1638094026853,76250
READ,1638094027074,71612
READ,1638094027238,91426
READ,1638094027567,102797
READ,1638094027791,72974
READ,1638094027871,79445
READ,1638094027977,34197
READ,1638094028122,72093
READ,1638094028265,66555
READ,1638094028331,65681
READ,1638094028405,74394
READ,1638094028500,94235
READ,1638094028679,107329
READ,1638094028823,70499
READ,1638094028890,66135
READ,1638094028971,81402
READ,1638094029090,42433
READ,1638094029227,63011
READ,1638094029328,101158
READ,1638094029472,68801
READ,1638094029541,68443
READ,1638094029602,61660
READ,1638094029940,105082
READ,1638094030138,47364
READ,1638094030408,105369
READ,1638094030638,86850
READ,1638094030699,60907
READ,1638094030800,100951
READ,1638094030984,113827
READ,1638094031049,64869
READ,1638094031480,96831
READ,1638094031761,112321
READ,1638094031830,68816
READ,1638094031898,68054
READ,1638094031995,97299
READ,1638094032179,107929
READ,1638094032245,65818
READ,1638094032571,99405
READ,1638094032609,38229
READ,1638094032714,105339
READ,1638094032829,39836
READ,1638094032945,40168
READ,1638094033189,103490
READ,1638094033414,77024
READ,1638094033487,73157
READ,1638094033679,113567
READ,1638094033852,103766
READ,1638094033919,66795
READ,1638094033990,71623
READ,1638094034028,37936
READ,1638094034098,69739
READ,1638094034203,104483
READ,1638094034394,39452
READ,1638094034575,99972
READ,1638094034615,39677
READ,1638094034721,35284
READ,1638094035190,95167
READ,1638094035597,107235
READ,1638094035705,108649
READ,1638094035809,104000
READ,1638094035913,103371
READ,1638094036001,87728
READ,1638094036041,40671
READ,1638094036181,66582
READ,1638094036547,72733
READ,1638094036806,38958
READ,1638094037073,112671
READ,1638094037404,105219
READ,1638094037649,104153
READ,1638094037725,75761
READ,1638094037762,36756
READ,1638094037935,102876
READ,1638094038005,69940
READ,1638094038159,76653
READ,1638094038235,76271
READ,1638094038274,39366
READ,1638094038371,96432
READ,1638094038438,66609
READ,1638094038592,75616
READ,1638094038779,35770
READ,1638094038883,103916
READ,1638094038919,36032
READ,1638094039027,37721
READ,1638094039169,69257
READ,1638094039473,72133
READ,1638094039516,42883
READ,1638094039635,43766
READ,1638094039705,70755
READ,1638094039741,36027
READ,1638094039935,119233
READ,1638094040047,111327
READ,1638094040193,66797
READ,1638094040266,73379
READ,1638094040617,101901
READ,1638094040860,95333
READ,1638094041089,76905
READ,1638094041161,71450
READ,1638094041546,105088
READ,1638094041614,68331
READ,1638094041690,75801
READ,1638094041799,109107
READ,1638094041901,101928
READ,1638094041968,66764
READ,1638094042043,74765
READ,1638094042180,64267
READ,1638094042318,62588
READ,1638094042356,37700
READ,1638094042532,104442
READ,1638094042571,38827
READ,1638094042741,99890
READ,1638094043249,67089
READ,1638094043317,68456
READ,1638094043457,64269
READ,1638094043639,38076
READ,1638094043778,69103
READ,1638094043918,69900
READ,1638094044177,106399
READ,1638094044328,74178
READ,1638094044436,32869
READ,1638094044474,37989
READ,1638094044578,103982
READ,1638094044693,39809
READ,1638094044949,108234
READ,1638094045038,89236
READ,1638094045115,76469
READ,1638094045221,106268
READ,1638094045261,40268
