Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
READ latency raw data: op, timestamp(ms), latency(us)
READ,1638093169350,370670
READ,1638093169461,111087
READ,1638093169560,99271
READ,1638093169661,100464
READ,1638093169766,105016
READ,1638093169839,73136
READ,1638093169901,61701
READ,1638093169936,35366
READ,1638093170039,102981
READ,1638093170104,64812
READ,1638093170174,69948
READ,1638093170208,33981
READ,1638093170311,103043
READ,1638093170351,39672
READ,1638093170384,33250
READ,1638093170423,39115
READ,1638093170488,64838
READ,1638093170523,35139
READ,1638093170586,62440
READ,1638093170622,35994
READ,1638093170658,36723
READ,1638093170694,35174
READ,1638093170731,37055
READ,1638093170768,37151
READ,1638093170803,34670
READ,1638093170838,34849
READ,1638093170872,34298
READ,1638093170905,33486
READ,1638093170939,33443
READ,1638093170974,34694
READ,1638093171007,33049
READ,1638093171045,38014
READ,1638093171080,34874
READ,1638093171113,33627
READ,1638093171146,32760
READ,1638093171181,34408
READ,1638093171289,108394
READ,1638093171329,39519
READ,1638093171365,36430
READ,1638093171398,33264
READ,1638093171432,33168
READ,1638093171498,66727
READ,1638093171533,35016
READ,1638093171568,34248
READ,1638093171606,38190
READ,1638093171647,40903
READ,1638093171682,35024
READ,1638093171755,72472
READ,1638093171800,45188
READ,1638093171838,38121
READ,1638093171903,65467
READ,1638093171945,41322
READ,1638093171979,34346
READ,1638093172013,34135
READ,1638093172088,74217
READ,1638093172125,37677
READ,1638093172200,74970
READ,1638093172238,37554
READ,1638093172304,66410
READ,1638093172375,70736
READ,1638093172411,35458
READ,1638093172447,36205
READ,1638093172481,34229
READ,1638093172518,36265
READ,1638093172588,70324
READ,1638093172630,42169
READ,1638093172668,37771
READ,1638093172729,60530
READ,1638093172763,34589
READ,1638093172796,33129
READ,1638093172830,33872
READ,1638093172865,34771
READ,1638093172942,77375
READ,1638093172978,35079
READ,1638093173011,33540
READ,1638093173046,34400
READ,1638093173079,32989
READ,1638093173114,34853
READ,1638093173185,71500
READ,1638093173262,76987
READ,1638093173297,34315
READ,1638093173329,32258
READ,1638093173362,33559
READ,1638093173399,36528
READ,1638093173435,35693
READ,1638093173504,69626
READ,1638093173575,70240
READ,1638093173611,36160
READ,1638093173646,35120
READ,1638093173681,35136
READ,1638093173750,68651
READ,1638093173824,73642
READ,1638093173924,99861
READ,1638093173957,33459
READ,1638093174030,73129
READ,1638093174091,61184
READ,1638093174127,35537
READ,1638093174170,42821
READ,1638093174242,72363
READ,1638093174282,39452
READ,1638093174318,36187
READ,1638093174358,40117
READ,1638093174394,35460
READ,1638093174455,61277
READ,1638093174495,39657
READ,1638093174529,34278
READ,1638093174576,46925
READ,1638093174611,34592
READ,1638093174648,37625
READ,1638093174684,35391
READ,1638093174719,35665
READ,1638093174759,39293
READ,1638093174793,33752
READ,1638093174828,35441
READ,1638093174862,33781
READ,1638093174894,32354
READ,1638093175005,110901
READ,1638093175074,68926
READ,1638093175109,34442
READ,1638093175179,70449
READ,1638093175214,35028
READ,1638093175249,34983
READ,1638093175283,33391
READ,1638093175318,35329
READ,1638093175385,66542
READ,1638093175423,38137
READ,1638093175458,34801
READ,1638093175494,36265
READ,1638093175554,60027
READ,1638093175589,35094
READ,1638093175695,106025
READ,1638093175727,31834
READ,1638093175793,66255
READ,1638093175856,62562
READ,1638093175896,39405
READ,1638093175931,35470
READ,1638093175968,37400
READ,1638093176028,59611
READ,1638093176069,40502
READ,1638093176105,36531
READ,1638093176140,34834
READ,1638093176172,31879
READ,1638093176206,33645
READ,1638093176239,33369
READ,1638093176300,60357
READ,1638093176336,36406
READ,1638093176401,64889
READ,1638093176441,40257
