Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
CLEANUP latency raw data: op, timestamp(ms), latency(us)
CLEANUP,1638091759359,1
UPDATE latency raw data: op, timestamp(ms), latency(us)
UPDATE,1638091725416,191387
UPDATE,1638091725460,44423
UPDATE,1638091725497,36938
UPDATE,1638091725529,31886
UPDATE,1638091725565,35683
UPDATE,1638091725603,38169
UPDATE,1638091725639,35701
UPDATE,1638091725677,37909
UPDATE,1638091725714,37584
UPDATE,1638091725753,38803
UPDATE,1638091725788,35110
UPDATE,1638091725826,37637
UPDATE,1638091725865,39343
UPDATE,1638091725904,38916
UPDATE,1638091725942,37938
UPDATE,1638091725980,37783
UPDATE,1638091726018,37848
UPDATE,1638091726052,33581
UPDATE,1638091726083,30916
UPDATE,1638091726118,34927
UPDATE,1638091726156,38078
UPDATE,1638091726194,38422
UPDATE,1638091726233,38323
UPDATE,1638091726270,37206
UPDATE,1638091726307,36924
UPDATE,1638091726344,37146
UPDATE,1638091726373,28868
UPDATE,1638091726411,37620
UPDATE,1638091726445,34235
UPDATE,1638091726482,36572
UPDATE,1638091726515,32721
UPDATE,1638091726558,43110
UPDATE,1638091726594,36224
UPDATE,1638091726629,34464
UPDATE,1638091726665,36803
UPDATE,1638091726701,35205
UPDATE,1638091726731,30675
UPDATE,1638091726768,36946
UPDATE,1638091726805,36491
UPDATE,1638091726841,35988
UPDATE,1638091726877,35593
UPDATE,1638091726921,44060
UPDATE,1638091726958,37563
UPDATE,1638091726996,37866
UPDATE,1638091727029,32438
UPDATE,1638091727067,38336
UPDATE,1638091727106,38517
UPDATE,1638091727145,38705
UPDATE,1638091727183,37943
UPDATE,1638091727222,39617
UPDATE,1638091727258,36060
UPDATE,1638091727294,35199
UPDATE,1638091727334,40610
UPDATE,1638091727369,34842
UPDATE,1638091727408,38303
UPDATE,1638091727445,37425
UPDATE,1638091727482,37395
UPDATE,1638091727523,39988
UPDATE,1638091727558,35101
UPDATE,1638091727594,36167
UPDATE,1638091727626,32474
UPDATE,1638091727662,35569
UPDATE,1638091727698,35806
UPDATE,1638091727735,37510
UPDATE,1638091727772,36603
UPDATE,1638091727805,32986
UPDATE,1638091727841,35647
UPDATE,1638091727869,27831
UPDATE,1638091727903,34616
UPDATE,1638091727943,39136
UPDATE,1638091727978,35120
UPDATE,1638091728013,35046
UPDATE,1638091728049,35928
UPDATE,1638091728081,31772
UPDATE,1638091728117,35759
UPDATE,1638091728153,36237
UPDATE,1638091728191,37994
UPDATE,1638091728227,35825
UPDATE,1638091728265,37737
UPDATE,1638091728299,33942
UPDATE,1638091728330,30936
UPDATE,1638091728363,32864
UPDATE,1638091728393,30660
UPDATE,1638091728431,37555
UPDATE,1638091728469,38427
UPDATE,1638091728508,38529
UPDATE,1638091728553,45056
UPDATE,1638091728588,35042
UPDATE,1638091728619,30569
UPDATE,1638091728656,37394
UPDATE,1638091728689,32725
UPDATE,1638091728726,36833
UPDATE,1638091728763,37245
UPDATE,1638091728799,35119
UPDATE,1638091728833,33997
UPDATE,1638091728869,36038
UPDATE,1638091728905,36602
UPDATE,1638091728943,37687
UPDATE,1638091728981,37981
UPDATE,1638091729019,37623
UPDATE,1638091729053,34152
UPDATE,1638091729086,32616
UPDATE,1638091729123,37444
UPDATE,1638091729155,32207
UPDATE,1638091729188,31993
UPDATE,1638091729218,30811
UPDATE,1638091729249,30505
UPDATE,1638091729283,33612
UPDATE,1638091729315,32708
UPDATE,1638091729352,36200
UPDATE,1638091729387,35714
UPDATE,1638091729431,43950
UPDATE,1638091729467,35814
UPDATE,1638091729502,35036
UPDATE,1638091729537,34398
UPDATE,1638091729576,39255
UPDATE,1638091729617,40827
UPDATE,1638091729655,37723
UPDATE,1638091729693,38620
UPDATE,1638091729726,32377
UPDATE,1638091729768,41768
UPDATE,1638091729799,30745
UPDATE,1638091729828,28926
UPDATE,1638091729859,30988
UPDATE,1638091729890,31828
UPDATE,1638091729921,30561
UPDATE,1638091729957,36251
UPDATE,1638091729993,35482
UPDATE,1638091730028,34881
UPDATE,1638091730069,41055
UPDATE,1638091730100,31322
UPDATE,1638091730135,34836
UPDATE,1638091730166,30286
UPDATE,1638091730201,35161
UPDATE,1638091730229,27868
UPDATE,1638091730263,34394
UPDATE,1638091730299,36224
UPDATE,1638091730329,29517
UPDATE,1638091730365,35724
UPDATE,1638091730400,34812
UPDATE,1638091730435,35006
UPDATE,1638091730476,40929
UPDATE,1638091730507,31097
UPDATE,1638091730540,32660
UPDATE,1638091730571,31108
UPDATE,1638091730606,35211
UPDATE,1638091730639,32620
UPDATE,1638091730677,37900
UPDATE,1638091730708,31633
UPDATE,1638091730737,28094
UPDATE,1638091730773,36510
UPDATE,1638091730806,32548
UPDATE,1638091730841,35399
UPDATE,1638091730877,35819
UPDATE,1638091730909,31897
UPDATE,1638091730945,36461
UPDATE,1638091730986,40460
UPDATE,1638091731022,35655
UPDATE,1638091731052,30302
UPDATE,1638091731089,36638
UPDATE,1638091731126,36738
UPDATE,1638091731158,32177
UPDATE,1638091731193,35062
UPDATE,1638091731229,35945
UPDATE,1638091731265,35775
UPDATE,1638091731297,32383
UPDATE,1638091731332,35189
UPDATE,1638091731367,34585
UPDATE,1638091731402,34604
UPDATE,1638091731438,35903
UPDATE,1638091731475,37328
UPDATE,1638091731506,30778
UPDATE,1638091731547,41169
UPDATE,1638091731582,34815
UPDATE,1638091731617,35252
UPDATE,1638091731652,34307
UPDATE,1638091731686,34015
UPDATE,1638091731721,35117
UPDATE,1638091731755,33648
UPDATE,1638091731791,36044
UPDATE,1638091731827,36638
UPDATE,1638091731858,30185
UPDATE,1638091731894,36111
UPDATE,1638091731927,33537
UPDATE,1638091731965,37572
UPDATE,1638091731997,32037
UPDATE,1638091732030,33042
UPDATE,1638091732061,30892
UPDATE,1638091732091,30133
UPDATE,1638091732128,36856
UPDATE,1638091732160,31169
UPDATE,1638091732194,34729
UPDATE,1638091732223,28374
UPDATE,1638091732258,35459
UPDATE,1638091732289,30351
UPDATE,1638091732324,35318
UPDATE,1638091732358,34249
UPDATE,1638091732389,30354
UPDATE,1638091732417,28012
UPDATE,1638091732453,35904
UPDATE,1638091732484,31534
UPDATE,1638091732519,34636
UPDATE,1638091732562,43297
UPDATE,1638091732598,35589
UPDATE,1638091732633,35277
UPDATE,1638091732666,32133
UPDATE,1638091732698,31876
UPDATE,1638091732732,34461
UPDATE,1638091732767,34365
UPDATE,1638091732803,36001
UPDATE,1638091732836,33394
UPDATE,1638091732869,32742
