Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
CLEANUP latency raw data: op, timestamp(ms), latency(us)
CLEANUP,1638238505019,1
UPDATE latency raw data: op, timestamp(ms), latency(us)
UPDATE,1638238470466,294288
UPDATE,1638238470499,33459
UPDATE,1638238470531,31338
UPDATE,1638238470568,37034
UPDATE,1638238470602,34262
UPDATE,1638238470636,33815
UPDATE,1638238470672,36008
UPDATE,1638238470705,33155
UPDATE,1638238470742,36965
UPDATE,1638238470777,34987
UPDATE,1638238470811,34053
UPDATE,1638238470850,38595
UPDATE,1638238470885,34496
UPDATE,1638238470919,34225
UPDATE,1638238470953,33944
UPDATE,1638238470990,36662
UPDATE,1638238471025,35027
UPDATE,1638238471058,32817
UPDATE,1638238471094,36590
UPDATE,1638238471127,32903
UPDATE,1638238471163,35513
UPDATE,1638238471197,34178
UPDATE,1638238471229,32248
UPDATE,1638238471272,42119
UPDATE,1638238471308,36676
UPDATE,1638238471341,32592
UPDATE,1638238471374,33428
UPDATE,1638238471407,32046
UPDATE,1638238471447,40165
UPDATE,1638238471484,36846
UPDATE,1638238471518,34276
UPDATE,1638238471554,35640
UPDATE,1638238471587,32796
UPDATE,1638238471624,36961
UPDATE,1638238471658,34620
UPDATE,1638238471694,35985
UPDATE,1638238471731,36932
UPDATE,1638238471766,34325
UPDATE,1638238471802,36370
UPDATE,1638238471839,36639
UPDATE,1638238471871,31959
UPDATE,1638238471908,37172
UPDATE,1638238471941,33355
UPDATE,1638238471977,35411
UPDATE,1638238472008,30804
UPDATE,1638238472045,37110
UPDATE,1638238472076,30985
UPDATE,1638238472106,29867
UPDATE,1638238472135,29105
UPDATE,1638238472168,33043
UPDATE,1638238472205,37351
UPDATE,1638238472239,33547
UPDATE,1638238472274,35238
UPDATE,1638238472309,34267
UPDATE,1638238472340,30790
UPDATE,1638238472376,36702
UPDATE,1638238472410,33167
UPDATE,1638238472445,35114
UPDATE,1638238472480,35403
UPDATE,1638238472514,33731
UPDATE,1638238472550,36297
UPDATE,1638238472596,45659
UPDATE,1638238472632,36332
UPDATE,1638238472670,37220
UPDATE,1638238472706,35813
UPDATE,1638238472737,31754
UPDATE,1638238472776,38295
UPDATE,1638238472810,34003
UPDATE,1638238472848,38077
UPDATE,1638238472885,37490
UPDATE,1638238472923,37123
UPDATE,1638238472954,31349
UPDATE,1638238472991,36408
UPDATE,1638238473031,40268
UPDATE,1638238473062,31156
UPDATE,1638238473099,36767
UPDATE,1638238473135,36251
UPDATE,1638238473174,38874
UPDATE,1638238473208,34027
UPDATE,1638238473243,34557
UPDATE,1638238473274,30772
UPDATE,1638238473308,34238
UPDATE,1638238473342,34434
UPDATE,1638238473379,36341
UPDATE,1638238473422,42942
UPDATE,1638238473463,41381
UPDATE,1638238473499,36159
UPDATE,1638238473538,38137
UPDATE,1638238473570,32431
UPDATE,1638238473600,29696
UPDATE,1638238473636,35741
UPDATE,1638238473672,36612
UPDATE,1638238473709,36641
UPDATE,1638238473741,31704
UPDATE,1638238473776,34715
UPDATE,1638238473812,36200
UPDATE,1638238473851,38898
UPDATE,1638238473890,39190
UPDATE,1638238473921,30910
UPDATE,1638238473958,36717
UPDATE,1638238473990,31901
UPDATE,1638238474025,34713
UPDATE,1638238474077,52451
UPDATE,1638238474110,32508
UPDATE,1638238474143,33387
UPDATE,1638238474173,30049
UPDATE,1638238474225,52210
UPDATE,1638238474260,34899
UPDATE,1638238474312,51533
UPDATE,1638238474342,30481
UPDATE,1638238474376,33256
UPDATE,1638238474410,33949
UPDATE,1638238474447,37456
UPDATE,1638238474484,36772
UPDATE,1638238474518,34087
UPDATE,1638238474555,36296
UPDATE,1638238474590,35359
UPDATE,1638238474625,35110
UPDATE,1638238474661,35488
UPDATE,1638238474695,34140
UPDATE,1638238474729,34156
UPDATE,1638238474763,33797
UPDATE,1638238474793,30413
UPDATE,1638238474824,30785
UPDATE,1638238474861,36982
UPDATE,1638238474893,31841
UPDATE,1638238474922,28247
UPDATE,1638238474958,36853
UPDATE,1638238474995,36204
UPDATE,1638238475030,35207
UPDATE,1638238475066,36198
UPDATE,1638238475100,34010
UPDATE,1638238475137,36439
UPDATE,1638238475170,33146
UPDATE,1638238475215,44818
UPDATE,1638238475253,38522
UPDATE,1638238475313,59546
UPDATE,1638238475352,38891
UPDATE,1638238475383,30526
UPDATE,1638238475420,37926
UPDATE,1638238475455,34483
UPDATE,1638238475492,36506
UPDATE,1638238475523,31312
UPDATE,1638238475558,34952
UPDATE,1638238475592,33890
UPDATE,1638238475628,36056
UPDATE,1638238475663,35286
UPDATE,1638238475707,43169
UPDATE,1638238475742,34940
UPDATE,1638238475778,36070
UPDATE,1638238475817,39700
UPDATE,1638238475851,33199
UPDATE,1638238475886,35228
UPDATE,1638238475921,35300
UPDATE,1638238475955,34087
UPDATE,1638238475991,35776
UPDATE,1638238476027,35650
UPDATE,1638238476062,35389
UPDATE,1638238476096,33700
UPDATE,1638238476131,34366
UPDATE,1638238476160,29520
UPDATE,1638238476190,29487
UPDATE,1638238476224,34489
UPDATE,1638238476256,31314
UPDATE,1638238476291,35444
UPDATE,1638238476335,44112
UPDATE,1638238476371,35316
UPDATE,1638238476401,30330
UPDATE,1638238476433,31934
UPDATE,1638238476467,34313
UPDATE,1638238476500,33028
UPDATE,1638238476533,32838
UPDATE,1638238476562,28872
UPDATE,1638238476594,32161
UPDATE,1638238476626,31530
UPDATE,1638238476662,36149
UPDATE,1638238476698,35497
UPDATE,1638238476727,28898
UPDATE,1638238476766,39020
UPDATE,1638238476804,37877
UPDATE,1638238476836,32241
UPDATE,1638238476871,34910
UPDATE,1638238476899,27980
UPDATE,1638238476931,32002
UPDATE,1638238476963,31911
UPDATE,1638238476995,32032
UPDATE,1638238477032,36769
UPDATE,1638238477063,30833
UPDATE,1638238477098,34696
UPDATE,1638238477128,30718
UPDATE,1638238477164,35198
UPDATE,1638238477198,34768
UPDATE,1638238477233,33974
UPDATE,1638238477261,28180
UPDATE,1638238477295,34425
UPDATE,1638238477332,36452
UPDATE,1638238477370,37905
UPDATE,1638238477407,36977
UPDATE,1638238477438,31537
UPDATE,1638238477476,38015
UPDATE,1638238477508,31465
UPDATE,1638238477540,32117
UPDATE,1638238477568,28325
UPDATE,1638238477608,39142
UPDATE,1638238477641,33734
UPDATE,1638238477673,31141
UPDATE,1638238477707,34659
UPDATE,1638238477738,30241
UPDATE,1638238477773,34933
UPDATE,1638238477804,31085
UPDATE,1638238477842,37859
UPDATE,1638238477878,36265
UPDATE,1638238477914,35730
UPDATE,1638238477950,36650
UPDATE,1638238477985,35106
UPDATE,1638238478020,34138
UPDATE,1638238478057,37565
UPDATE,1638238478086,28765
UPDATE,1638238478117,30487
UPDATE,1638238478156,38967
UPDATE,1638238478184,27944
UPDATE,1638238478224,39943
UPDATE,1638238478258,33983
UPDATE,1638238478295,37403
UPDATE,1638238478331,35779
UPDATE,1638238478367,36003
UPDATE,1638238478399,31932
UPDATE,1638238478432,33470
UPDATE,1638238478464,31879
UPDATE,1638238478496,31991
UPDATE,1638238478527,30083
UPDATE,1638238478565,38376
UPDATE,1638238478598,33414
UPDATE,1638238478631,32800
UPDATE,1638238478670,38350
UPDATE,1638238478702,32189
UPDATE,1638238478737,34879
UPDATE,1638238478773,35950
UPDATE,1638238478808,35124
UPDATE,1638238478843,34565
UPDATE,1638238478873,30144
