Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
READ latency raw data: op, timestamp(ms), latency(us)
READ,1638238843460,363046
READ,1638238843504,43761
READ,1638238843541,37222
READ,1638238843576,34373
READ,1638238843616,40040
READ,1638238843662,46217
READ,1638238843698,35959
READ,1638238843734,35285
READ,1638238843776,42424
READ,1638238843811,34838
READ,1638238843846,34791
READ,1638238843880,34022
READ,1638238843916,35876
READ,1638238843951,34980
READ,1638238843985,33804
READ,1638238844022,37779
READ,1638238844068,45489
READ,1638238844105,36700
READ,1638238844141,35781
READ,1638238844181,40321
READ,1638238844213,32255
READ,1638238844248,34458
READ,1638238844283,35243
READ,1638238844317,34150
READ,1638238844354,36481
READ,1638238844390,36056
READ,1638238844425,35223
READ,1638238844463,37637
READ,1638238844498,34730
READ,1638238844532,34070
READ,1638238844571,39564
READ,1638238844608,36970
READ,1638238844650,41359
READ,1638238844688,38483
READ,1638238844726,37734
READ,1638238844763,36623
READ,1638238844799,36053
READ,1638238844835,36339
READ,1638238844869,34109
READ,1638238844908,38861
READ,1638238844947,39282
READ,1638238844984,36534
READ,1638238845024,39510
READ,1638238845059,35209
READ,1638238845098,38622
READ,1638238845134,36620
READ,1638238845170,35579
READ,1638238845203,33603
READ,1638238845238,34811
READ,1638238845277,38454
READ,1638238845312,35588
READ,1638238845350,37755
READ,1638238845383,32734
READ,1638238845429,45728
READ,1638238845463,34218
READ,1638238845502,38906
READ,1638238845536,33841
READ,1638238845574,37797
READ,1638238845607,33325
READ,1638238845642,35162
READ,1638238845679,36850
READ,1638238845717,38196
READ,1638238845754,36958
READ,1638238845798,43936
READ,1638238845835,37027
READ,1638238845870,34551
READ,1638238845904,33713
READ,1638238845935,31251
READ,1638238845974,38416
READ,1638238846007,33600
READ,1638238846044,36664
READ,1638238846081,36891
READ,1638238846118,36741
READ,1638238846159,40806
READ,1638238846195,36593
READ,1638238846235,39454
READ,1638238846269,34578
READ,1638238846305,35993
READ,1638238846340,35160
READ,1638238846375,34161
READ,1638238846410,35170
READ,1638238846444,33786
READ,1638238846478,33742
READ,1638238846511,33803
READ,1638238846545,33567
READ,1638238846580,34551
READ,1638238846613,33792
READ,1638238846647,34030
READ,1638238846681,33942
READ,1638238846719,37598
READ,1638238846754,34505
READ,1638238846786,32664
READ,1638238846821,34458
READ,1638238846861,39947
READ,1638238846899,38093
READ,1638238846937,38204
READ,1638238846972,34974
READ,1638238847010,37484
READ,1638238847046,35678
READ,1638238847082,35960
READ,1638238847121,39707
READ,1638238847162,40793
READ,1638238847199,36545
READ,1638238847237,38496
READ,1638238847278,40226
READ,1638238847315,37864
READ,1638238847353,37851
READ,1638238847391,37607
READ,1638238847436,44545
READ,1638238847470,33986
READ,1638238847505,34915
READ,1638238847538,33805
READ,1638238847589,50596
READ,1638238847627,38013
READ,1638238847664,37276
READ,1638238847707,42334
READ,1638238847740,33205
READ,1638238847778,38192
READ,1638238847816,37550
READ,1638238847853,36707
READ,1638238847890,36818
READ,1638238847923,33570
READ,1638238847962,38787
READ,1638238847996,34323
READ,1638238848033,36159
READ,1638238848071,38836
READ,1638238848106,34057
READ,1638238848143,37651
READ,1638238848187,43625
READ,1638238848219,32530
READ,1638238848255,35222
READ,1638238848289,33758
READ,1638238848323,34395
READ,1638238848363,40107
READ,1638238848399,36133
READ,1638238848435,35376
READ,1638238848469,34665
READ,1638238848507,37247
READ,1638238848544,37130
READ,1638238848582,37580
READ,1638238848626,44236
READ,1638238848666,39747
READ,1638238848702,36627
READ,1638238848734,31825
READ,1638238848778,44157
READ,1638238848813,35113
READ,1638238848848,34678
READ,1638238848886,37655
READ,1638238848925,39037
READ,1638238848973,47780
READ,1638238849009,35886
READ,1638238849046,37474
READ,1638238849084,38097
READ,1638238849118,33921
READ,1638238849156,37251
READ,1638238849190,34495
READ,1638238849229,38596
READ,1638238849267,38168
READ,1638238849301,33789
READ,1638238849331,29643
READ,1638238849371,40653
READ,1638238849419,48189
READ,1638238849457,37025
READ,1638238849495,38570
READ,1638238849533,37669
READ,1638238849580,46693
READ,1638238849618,38390
READ,1638238849665,46461
READ,1638238849709,44271
READ,1638238849759,50102
READ,1638238849797,37613
READ,1638238849836,39425
READ,1638238849872,35636
READ,1638238849907,34746
READ,1638238849943,36351
READ,1638238849979,35538
READ,1638238850020,41002
READ,1638238850054,33931
READ,1638238850096,41903
READ,1638238850131,34956
READ,1638238850169,38790
READ,1638238850205,35268
READ,1638238850237,32645
READ,1638238850276,38862
READ,1638238850311,34529
READ,1638238850347,36082
READ,1638238850382,34827
READ,1638238850417,34821
READ,1638238850454,37083
READ,1638238850491,37229
READ,1638238850531,39932
READ,1638238850566,35194
READ,1638238850609,42887
READ,1638238850645,36194
READ,1638238850683,37283
READ,1638238850720,37244
READ,1638238850760,39965
READ,1638238850795,34853
READ,1638238850832,37006
READ,1638238850865,32570
READ,1638238850899,34262
READ,1638238850941,42348
READ,1638238850986,44501
READ,1638238851022,36414
READ,1638238851057,34740
READ,1638238851091,34053
READ,1638238851128,36508
READ,1638238851165,37301
READ,1638238851225,60306
READ,1638238851259,33756
READ,1638238851295,35592
READ,1638238851342,46708
READ,1638238851395,53488
READ,1638238851432,36500
READ,1638238851468,36285
READ,1638238851504,35530
READ,1638238851538,34478
READ,1638238851573,35280
READ,1638238851612,38755
READ,1638238851645,33301
READ,1638238851679,33735
READ,1638238851725,46014
READ,1638238851761,35270
READ,1638238851797,36509
READ,1638238851833,34855
READ,1638238851871,37665
READ,1638238851908,37374
READ,1638238851961,52815
READ,1638238852001,39580
READ,1638238852040,39341
READ,1638238852085,44645
READ,1638238852123,38002
READ,1638238852159,36326
READ,1638238852196,36585
READ,1638238852236,40258
READ,1638238852273,36667
READ,1638238852317,43792
READ,1638238852357,40069
READ,1638238852386,29302
READ,1638238852421,34570
READ,1638238852459,38243
READ,1638238852494,35637
READ,1638238852536,41379
READ,1638238852572,35973
READ,1638238852610,37992
READ,1638238852645,34704
READ,1638238852683,38135
READ,1638238852725,41788
READ,1638238852760,34749
READ,1638238852791,31660
READ,1638238852824,32470
READ,1638238852859,35565
READ,1638238852899,39897
READ,1638238852932,32750
READ,1638238852965,33138
READ,1638238852999,34169
READ,1638238853034,34893
READ,1638238853073,38710
READ,1638238853111,37965
READ,1638238853150,39156
READ,1638238853186,35755
READ,1638238853231,44507
READ,1638238853265,34623
READ,1638238853302,36846
READ,1638238853337,34253
READ,1638238853370,33870
READ,1638238853404,33654
READ,1638238853439,35176
READ,1638238853473,33200
READ,1638238853512,39425
READ,1638238853552,39946
READ,1638238853584,32008
READ,1638238853619,34483
READ,1638238853654,35227
READ,1638238853688,33634
READ,1638238853722,34255
READ,1638238853758,36177
READ,1638238853795,36750
READ,1638238853827,32588
READ,1638238853864,36489
READ,1638238853899,35111
READ,1638238853936,36762
READ,1638238853973,36915
READ,1638238854015,42283
READ,1638238854048,33243
READ,1638238854084,35048
READ,1638238854117,33756
READ,1638238854155,37467
READ,1638238854197,41728
READ,1638238854234,37446
READ,1638238854270,36145
READ,1638238854316,45867
READ,1638238854352,36186
READ,1638238854389,36412
READ,1638238854419,29875
READ,1638238854458,39056
READ,1638238854502,43786
READ,1638238854537,35245
READ,1638238854576,39447
READ,1638238854611,34810
READ,1638238854648,36282
READ,1638238854685,37259
READ,1638238854720,35203
READ,1638238854756,35517
READ,1638238854800,44774
READ,1638238854837,36243
READ,1638238854873,35973
READ,1638238854911,38328
READ,1638238854944,32736
READ,1638238854983,38841
READ,1638238855020,37264
READ,1638238855060,39986
READ,1638238855096,35585
READ,1638238855131,35317
READ,1638238855167,35400
READ,1638238855201,34559
READ,1638238855239,37438
READ,1638238855277,38172
READ,1638238855311,33845
READ,1638238855348,36874
READ,1638238855381,33740
READ,1638238855418,36641
READ,1638238855453,34677
READ,1638238855487,34071
READ,1638238855527,39679
READ,1638238855564,37322
READ,1638238855600,36070
READ,1638238855644,44084
READ,1638238855677,33185
READ,1638238855730,52557
READ,1638238855766,35761
READ,1638238855801,35227
READ,1638238855836,34684
READ,1638238855873,36815
READ,1638238855908,35010
READ,1638238855941,33371
READ,1638238855975,33988
READ,1638238856012,36535
READ,1638238856045,33765
READ,1638238856076,30483
READ,1638238856113,37036
READ,1638238856146,32494
READ,1638238856181,35059
READ,1638238856229,48188
READ,1638238856264,34682
READ,1638238856300,36546
READ,1638238856340,39753
READ,1638238856371,31492
READ,1638238856404,32933
READ,1638238856441,36707
READ,1638238856491,49869
READ,1638238856525,34350
READ,1638238856561,35628
READ,1638238856598,36773
READ,1638238856634,35580
READ,1638238856672,38632
READ,1638238856710,37655
READ,1638238856745,34585
READ,1638238856776,31448
READ,1638238856812,35970
READ,1638238856852,39727
READ,1638238856890,38490
READ,1638238856927,36233
READ,1638238856961,34574
READ,1638238856998,36974
READ,1638238857039,40823
READ,1638238857080,40739
READ,1638238857117,37539
READ,1638238857153,35538
READ,1638238857188,34722
READ,1638238857227,39527
READ,1638238857260,33046
READ,1638238857296,35947
READ,1638238857329,32687
READ,1638238857372,42642
READ,1638238857416,43876
READ,1638238857447,31560
READ,1638238857494,46887
READ,1638238857535,41006
READ,1638238857573,37680
READ,1638238857607,33861
READ,1638238857641,34225
READ,1638238857674,33206
READ,1638238857738,63206
READ,1638238857777,38933
READ,1638238857811,34461
READ,1638238857851,39881
READ,1638238857889,38170
READ,1638238857923,33923
READ,1638238857954,31051
READ,1638238857991,36751
READ,1638238858027,35592
READ,1638238858063,36459
READ,1638238858122,58647
READ,1638238858161,38675
READ,1638238858199,38497
READ,1638238858234,34460
READ,1638238858283,49490
READ,1638238858333,49830
READ,1638238858370,37096
READ,1638238858409,38442
READ,1638238858444,35314
READ,1638238858482,37947
READ,1638238858517,34990
READ,1638238858555,38242
READ,1638238858591,35170
READ,1638238858626,35748
READ,1638238858662,35606
READ,1638238858702,39564
READ,1638238858745,43338
READ,1638238858782,36725
READ,1638238858820,38298
READ,1638238858856,35981
READ,1638238858906,49505
READ,1638238858941,35724
READ,1638238858975,33923
READ,1638238859011,35518
READ,1638238859046,35216
READ,1638238859083,36957
READ,1638238859121,37772
READ,1638238859159,38512
READ,1638238859198,38371
READ,1638238859235,37261
READ,1638238859271,35916
READ,1638238859315,44090
