Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
CLEANUP latency raw data: op, timestamp(ms), latency(us)
CLEANUP,1638084840572,1
UPDATE latency raw data: op, timestamp(ms), latency(us)
UPDATE,1638084806376,299316
UPDATE,1638084806415,38753
UPDATE,1638084806451,36304
UPDATE,1638084806485,33534
UPDATE,1638084806521,36687
UPDATE,1638084806556,34312
UPDATE,1638084806589,33167
UPDATE,1638084806620,30778
UPDATE,1638084806655,35416
UPDATE,1638084806685,29962
UPDATE,1638084806719,33403
UPDATE,1638084806757,37750
UPDATE,1638084806790,33407
UPDATE,1638084806826,36334
UPDATE,1638084806864,37321
UPDATE,1638084806896,31773
UPDATE,1638084806931,35556
UPDATE,1638084806965,33380
UPDATE,1638084806999,34585
UPDATE,1638084807038,38527
UPDATE,1638084807067,29333
UPDATE,1638084807104,36420
UPDATE,1638084807141,37222
UPDATE,1638084807179,37812
UPDATE,1638084807216,37410
UPDATE,1638084807260,43732
UPDATE,1638084807293,32602
UPDATE,1638084807327,33885
UPDATE,1638084807363,36497
UPDATE,1638084807399,35615
UPDATE,1638084807433,33977
UPDATE,1638084807470,36809
UPDATE,1638084807504,33474
UPDATE,1638084807538,34517
UPDATE,1638084807572,33967
UPDATE,1638084807607,35101
UPDATE,1638084807642,34191
UPDATE,1638084807677,35247
UPDATE,1638084807713,36568
UPDATE,1638084807748,34518
UPDATE,1638084807789,41042
UPDATE,1638084807829,39433
UPDATE,1638084807861,32626
UPDATE,1638084807901,39615
UPDATE,1638084807947,46000
UPDATE,1638084807987,40215
UPDATE,1638084808026,38118
UPDATE,1638084808063,37161
UPDATE,1638084808100,37098
UPDATE,1638084808138,38252
UPDATE,1638084808172,34066
UPDATE,1638084808208,35156
UPDATE,1638084808248,40829
UPDATE,1638084808282,33316
UPDATE,1638084808320,37870
UPDATE,1638084808354,34053
UPDATE,1638084808391,36824
UPDATE,1638084808429,38647
UPDATE,1638084808461,31655
UPDATE,1638084808498,36993
UPDATE,1638084808532,33776
UPDATE,1638084808569,37067
UPDATE,1638084808605,36313
UPDATE,1638084808642,35946
UPDATE,1638084808680,38248
UPDATE,1638084808713,32721
UPDATE,1638084808748,35299
UPDATE,1638084808785,36572
UPDATE,1638084808817,32012
UPDATE,1638084808851,34594
UPDATE,1638084808889,37593
UPDATE,1638084808923,34152
UPDATE,1638084808967,44078
UPDATE,1638084809003,35296
UPDATE,1638084809037,34245
UPDATE,1638084809072,34578
UPDATE,1638084809108,36293
UPDATE,1638084809143,34778
UPDATE,1638084809174,30784
UPDATE,1638084809207,32983
UPDATE,1638084809242,35019
UPDATE,1638084809276,34146
UPDATE,1638084809306,29660
UPDATE,1638084809339,33033
UPDATE,1638084809376,36918
UPDATE,1638084809410,34051
UPDATE,1638084809454,43626
UPDATE,1638084809487,32975
UPDATE,1638084809522,35403
UPDATE,1638084809557,34518
UPDATE,1638084809591,34543
UPDATE,1638084809626,34653
UPDATE,1638084809676,49626
UPDATE,1638084809713,37407
UPDATE,1638084809749,35660
UPDATE,1638084809779,30307
UPDATE,1638084809814,34433
UPDATE,1638084809847,33673
UPDATE,1638084809883,35699
UPDATE,1638084809917,33708
UPDATE,1638084809951,34405
UPDATE,1638084809986,34205
UPDATE,1638084810024,38288
UPDATE,1638084810055,31163
UPDATE,1638084810092,36251
UPDATE,1638084810126,34561
UPDATE,1638084810155,29169
UPDATE,1638084810204,48080
UPDATE,1638084810241,36963
UPDATE,1638084810277,36543
UPDATE,1638084810314,36910
UPDATE,1638084810349,34820
UPDATE,1638084810386,37307
UPDATE,1638084810425,39002
UPDATE,1638084810461,35458
UPDATE,1638084810496,35462
UPDATE,1638084810532,35733
UPDATE,1638084810568,35927
UPDATE,1638084810598,29717
UPDATE,1638084810634,36312
UPDATE,1638084810664,29380
UPDATE,1638084810697,33451
UPDATE,1638084810731,33164
UPDATE,1638084810766,35492
UPDATE,1638084810802,35483
UPDATE,1638084810836,34525
UPDATE,1638084810874,37405
UPDATE,1638084810907,33135
UPDATE,1638084810940,33028
UPDATE,1638084810972,32424
UPDATE,1638084811009,36375
UPDATE,1638084811045,36043
UPDATE,1638084811083,37459
UPDATE,1638084811113,30688
UPDATE,1638084811158,45000
UPDATE,1638084811198,39334
UPDATE,1638084811229,31632
UPDATE,1638084811262,33066
UPDATE,1638084811298,35198
UPDATE,1638084811340,42481
UPDATE,1638084811369,28906
UPDATE,1638084811406,36612
UPDATE,1638084811441,35004
UPDATE,1638084811477,35558
UPDATE,1638084811512,35080
UPDATE,1638084811546,33889
UPDATE,1638084811581,34954
UPDATE,1638084811618,37258
UPDATE,1638084811654,35536
UPDATE,1638084811688,34496
UPDATE,1638084811724,35603
UPDATE,1638084811757,33032
UPDATE,1638084811791,33786
UPDATE,1638084811824,33635
UPDATE,1638084811857,33054
UPDATE,1638084811893,35624
