Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
READ latency raw data: op, timestamp(ms), latency(us)
READ,1638084886659,303401
READ,1638084886689,29813
READ,1638084886723,34294
READ,1638084886762,38214
READ,1638084886800,37887
READ,1638084886841,40920
READ,1638084886877,36307
READ,1638084886910,33448
READ,1638084886948,37730
READ,1638084886986,38021
READ,1638084887022,35475
READ,1638084887060,38395
READ,1638084887099,39120
READ,1638084887131,31812
READ,1638084887168,36671
READ,1638084887208,40301
READ,1638084887244,35342
READ,1638084887292,47905
READ,1638084887330,38435
READ,1638084887365,34896
READ,1638084887402,37378
READ,1638084887432,29008
READ,1638084887466,33953
READ,1638084887502,36589
READ,1638084887542,39461
READ,1638084887575,32946
READ,1638084887608,33138
READ,1638084887645,37296
READ,1638084887683,37985
READ,1638084887716,33262
READ,1638084887753,36806
READ,1638084887790,36215
READ,1638084887828,38392
READ,1638084887866,38050
READ,1638084887900,33664
READ,1638084887938,38554
READ,1638084887977,38606
READ,1638084888010,32442
READ,1638084888043,33337
READ,1638084888077,33901
READ,1638084888108,31421
READ,1638084888142,34103
READ,1638084888176,33238
READ,1638084888209,33314
READ,1638084888246,37154
READ,1638084888285,38368
READ,1638084888324,38926
READ,1638084888361,37230
READ,1638084888395,33487
READ,1638084888434,38928
READ,1638084888470,36799
READ,1638084888504,33734
READ,1638084888542,37648
READ,1638084888580,38123
READ,1638084888620,40182
READ,1638084888654,33855
READ,1638084888688,33904
READ,1638084888726,37868
READ,1638084888764,37860
READ,1638084888799,35230
READ,1638084888837,38182
READ,1638084888876,38597
READ,1638084888909,33290
READ,1638084888943,33577
READ,1638084888981,37948
READ,1638084889010,28853
READ,1638084889044,33887
READ,1638084889082,38130
READ,1638084889116,34255
READ,1638084889150,33655
READ,1638084889183,33319
READ,1638084889220,36786
READ,1638084889259,39093
READ,1638084889297,37373
READ,1638084889328,31390
READ,1638084889368,39727
READ,1638084889399,30796
READ,1638084889437,38563
READ,1638084889473,35643
READ,1638084889508,34914
READ,1638084889545,37195
READ,1638084889581,35902
READ,1638084889621,40063
READ,1638084889655,33321
READ,1638084889690,35302
READ,1638084889729,38929
READ,1638084889768,38989
READ,1638084889805,36838
READ,1638084889836,31212
READ,1638084889874,38011
READ,1638084889909,34245
READ,1638084889942,32855
READ,1638084889975,33099
READ,1638084890005,30317
READ,1638084890038,33213
READ,1638084890078,39402
READ,1638084890116,37781
READ,1638084890153,37313
READ,1638084890183,29608
READ,1638084890218,35133
READ,1638084890252,34538
READ,1638084890285,33103
READ,1638084890329,43532
READ,1638084890387,58074
READ,1638084890421,33846
READ,1638084890455,33460
READ,1638084890499,44564
READ,1638084890537,37834
READ,1638084890571,33705
READ,1638084890609,38048
READ,1638084890643,34275
READ,1638084890680,36903
READ,1638084890713,33162
READ,1638084890746,33083
READ,1638084890792,45202
READ,1638084890824,32230
