Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
READ latency raw data: op, timestamp(ms), latency(us)
READ,1638083914800,37211
READ,1638083914870,35831
READ,1638083914903,32312
READ,1638083914981,40991
READ,1638083915016,35166
READ,1638083915049,32853
READ,1638083915088,39489
READ,1638083915162,39644
READ,1638083915202,39928
READ,1638083915236,33658
READ,1638083915305,35920
READ,1638083915376,30117
READ,1638083915553,33012
READ,1638083915591,37339
READ,1638083915657,32718
READ,1638083915700,43355
READ,1638083915732,31683
READ,1638083915807,37694
READ,1638083915875,33581
READ,1638083915947,38735
READ,1638083916021,39220
READ,1638083916058,36994
READ,1638083916276,33626
READ,1638083916350,38026
READ,1638083916383,32932
READ,1638083916451,32381
READ,1638083916485,33955
READ,1638083916584,33629
READ,1638083916619,35277
READ,1638083916657,37244
READ,1638083916729,39142
READ,1638083916831,33522
READ,1638083916867,35059
READ,1638083916938,33777
READ,1638083917009,32756
READ,1638083917044,34836
READ,1638083917076,32570
READ,1638083917111,34263
READ,1638083917147,35926
READ,1638083917177,30570
READ,1638083917382,35749
READ,1638083917429,47011
READ,1638083917527,27640
READ,1638083917560,33671
READ,1638083917603,42705
READ,1638083917640,36887
READ,1638083917865,37716
READ,1638083917939,39072
READ,1638083918044,34240
READ,1638083918115,35738
READ,1638083918332,36570
READ,1638083918362,29552
READ,1638083918396,34402
READ,1638083918442,46370
READ,1638083918505,31425
READ,1638083918536,30733
READ,1638083918574,37851
READ,1638083918675,31985
READ,1638083918709,33373
READ,1638083918782,37255
READ,1638083918962,35075
READ,1638083918995,32258
READ,1638083919033,37919
READ,1638083919153,36686
READ,1638083919264,35794
READ,1638083919295,31402
READ,1638083919406,33772
READ,1638083919471,30262
READ,1638083919505,33752
READ,1638083919542,36873
READ,1638083919574,32299
READ,1638083919607,32512
READ,1638083919645,38557
READ,1638083919870,37814
READ,1638083919972,32771
READ,1638083920048,39634
READ,1638083920088,39263
READ,1638083920188,34759
READ,1638083920393,32625
READ,1638083920466,35901
READ,1638083920500,33893
