Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
READ latency raw data: op, timestamp(ms), latency(us)
READ,1638083834704,279713
READ,1638083834806,33772
READ,1638083834875,34575
READ,1638083834944,34840
READ,1638083834977,33631
READ,1638083835012,34995
READ,1638083835046,33412
READ,1638083835079,33531
READ,1638083835117,37413
READ,1638083835180,33597
READ,1638083835248,34167
READ,1638083835350,35806
READ,1638083835419,35718
READ,1638083835452,33197
READ,1638083835497,44246
READ,1638083835672,34479
READ,1638083835703,30556
READ,1638083835738,35747
READ,1638083835806,36249
READ,1638083835864,28943
READ,1638083835893,29600
READ,1638083835927,33042
READ,1638083835962,35168
READ,1638083836101,29268
READ,1638083836205,34111
READ,1638083836238,33277
READ,1638083836271,32904
READ,1638083836306,35286
READ,1638083836471,33716
READ,1638083836538,33091
READ,1638083836573,34570
READ,1638083836607,33945
READ,1638083836745,42256
READ,1638083836812,32793
READ,1638083836915,34077
READ,1638083837017,34112
READ,1638083837053,35596
READ,1638083837189,34984
READ,1638083837220,30498
READ,1638083837254,34150
READ,1638083837318,29527
READ,1638083837422,35682
READ,1638083837490,34323
READ,1638083837558,33838
READ,1638083837635,33452
READ,1638083837669,33844
READ,1638083837701,32865
READ,1638083837737,35208
READ,1638083837805,33812
READ,1638083838017,34583
READ,1638083838084,33229
READ,1638083838113,29597
READ,1638083838181,29567
READ,1638083838212,30981
READ,1638083838315,39670
READ,1638083838446,33483
READ,1638083838509,31593
READ,1638083838545,35372
READ,1638083838578,33137
READ,1638083838613,35330
READ,1638083838648,34266
READ,1638083838682,34156
READ,1638083838716,34174
READ,1638083838977,31277
READ,1638083839045,32021
READ,1638083839201,30506
READ,1638083839335,33181
READ,1638083839404,34258
READ,1638083839439,35044
READ,1638083839509,30914
READ,1638083839541,32789
READ,1638083839574,32313
READ,1638083839681,30907
READ,1638083839715,34093
READ,1638083839749,34118
READ,1638083839846,35515
READ,1638083839878,32505
READ,1638083839914,35319
READ,1638083840014,33287
READ,1638083840048,34168
READ,1638083840111,33555
READ,1638083840144,32661
READ,1638083840173,29136
READ,1638083840207,33366
READ,1638083840311,33482
READ,1638083840379,34086
READ,1638083840412,33119
READ,1638083840513,33722
READ,1638083840545,31630
READ,1638083840581,36062
READ,1638083840611,30371
READ,1638083840647,35734
READ,1638083840683,36436
READ,1638083840897,32071
READ,1638083841065,33344
READ,1638083841200,33698
READ,1638083841234,33943
READ,1638083841268,33295
READ,1638083841329,29048
READ,1638083841364,34316
READ,1638083841495,33033
READ,1638083841599,35778
READ,1638083841667,33544
READ,1638083841762,31698
READ,1638083841798,35988
READ,1638083841900,33739
READ,1638083841958,29589
READ,1638083841993,34380
READ,1638083842022,28816
READ,1638083842050,28726
READ,1638083842124,43342
READ,1638083842159,34329
READ,1638083842193,34618
READ,1638083842261,33666
READ,1638083842290,28927
READ,1638083842326,35599
READ,1638083842428,34326
READ,1638083842462,34097
READ,1638083842565,34147
READ,1638083842607,41902
READ,1638083842736,33123
READ,1638083842771,34872
READ,1638083842833,29685
READ,1638083842867,33192
READ,1638083842929,29493
READ,1638083843088,31195
READ,1638083843329,35506
READ,1638083843362,33540
READ,1638083843396,33508
READ,1638083843429,33639
READ,1638083843492,29508
READ,1638083843624,34302
READ,1638083843683,30370
READ,1638083843749,31814
READ,1638083843783,34780
READ,1638083843816,32795
READ,1638083843883,36725
READ,1638083843913,29109
READ,1638083843942,29688
READ,1638083843973,30156
READ,1638083844040,34101
READ,1638083844073,33695
READ,1638083844138,30385
READ,1638083844210,36455
READ,1638083844301,28520
READ,1638083844404,34835
READ,1638083844439,35401
READ,1638083844508,34364
READ,1638083844574,35301
READ,1638083844605,30877
READ,1638083844642,37249
READ,1638083844743,35377
READ,1638083844845,35010
READ,1638083844919,38608
READ,1638083844947,28735
READ,1638083844981,33712
READ,1638083845143,31779
READ,1638083845177,33472
READ,1638083845314,37206
READ,1638083845351,36321
READ,1638083845388,37240
READ,1638083845457,36553
READ,1638083845528,36607
READ,1638083845620,31641
READ,1638083845651,30902
READ,1638083845687,36124
READ,1638083845764,43707
READ,1638083845798,33893
READ,1638083845873,34211
READ,1638083845906,32945
READ,1638083845940,34389
READ,1638083845970,29049
READ,1638083846128,32168
READ,1638083846164,35671
READ,1638083846197,32957
READ,1638083846226,28711
READ,1638083846255,28831
READ,1638083846288,33588
READ,1638083846349,30687
READ,1638083846378,29413
READ,1638083846506,28874
READ,1638083846541,35242
READ,1638083846646,33772
READ,1638083846707,30924
READ,1638083846775,32464
READ,1638083846806,30823
READ,1638083846836,30354
READ,1638083846865,29022
READ,1638083846900,34651
READ,1638083846962,28864
READ,1638083846992,29120
READ,1638083847027,35590
READ,1638083847092,33968
READ,1638083847122,30235
READ,1638083847191,34309
READ,1638083847227,35704
READ,1638083847297,37203
READ,1638083847330,33272
READ,1638083847425,28644
READ,1638083847523,30323
READ,1638083847558,35085
READ,1638083847593,34983
READ,1638083847627,33911
READ,1638083847659,32386
READ,1638083847757,29475
READ,1638083847792,35478
READ,1638083847853,30821
READ,1638083847888,35477
READ,1638083847959,36124
READ,1638083847994,34777
READ,1638083848157,34703
READ,1638083848187,29477
READ,1638083848249,28954
READ,1638083848283,33899
READ,1638083848318,34809
READ,1638083848348,30437
READ,1638083848409,28802
READ,1638083848476,29886
READ,1638083848643,34862
READ,1638083848842,32797
READ,1638083848907,29797
READ,1638083848972,29337
READ,1638083849015,42818
READ,1638083849051,36023
READ,1638083849178,29721
READ,1638083849207,29675
READ,1638083849270,29079
READ,1638083849304,34440
READ,1638083849367,30114
READ,1638083849401,33661
READ,1638083849461,28420
READ,1638083849711,33643
READ,1638083849751,39906
READ,1638083849847,29500
READ,1638083849880,33679
READ,1638083849914,33964
READ,1638083849981,33117
READ,1638083850010,28642
READ,1638083850084,29272
READ,1638083850118,33445
READ,1638083850218,29606
READ,1638083850251,32994
READ,1638083850317,31047
READ,1638083850352,35115
READ,1638083850388,35975
READ,1638083850421,32622
READ,1638083850484,29154
READ,1638083850615,29085
READ,1638083850816,34076
READ,1638083850850,34231
READ,1638083850948,29724
READ,1638083851077,30161
READ,1638083851107,29369
READ,1638083851140,33211
READ,1638083851205,32181
READ,1638083851271,35824
READ,1638083851403,33901
READ,1638083851474,30615
READ,1638083851503,28637
READ,1638083851532,28850
READ,1638083851565,32987
READ,1638083851600,35153
READ,1638083851634,33796
READ,1638083851664,29683
READ,1638083851697,33277
READ,1638083851829,33532
READ,1638083851895,30646
READ,1638083851956,30526
READ,1638083852053,28888
READ,1638083852087,33498
READ,1638083852122,35183
READ,1638083852191,33680
READ,1638083852257,33403
READ,1638083852320,33724
READ,1638083852420,28878
READ,1638083852457,36846
READ,1638083852490,33405
READ,1638083852519,28699
READ,1638083852660,36873
READ,1638083852756,30440
READ,1638083852979,29848
READ,1638083853020,41188
READ,1638083853114,30532
READ,1638083853178,29374
READ,1638083853211,33263
READ,1638083853241,29762
READ,1638083853275,33714
READ,1638083853422,37705
READ,1638083853456,34058
READ,1638083853521,29194
READ,1638083853555,33545
READ,1638083853725,34899
READ,1638083853804,34044
READ,1638083853862,28907
READ,1638083853929,34002
READ,1638083853963,33398
READ,1638083854090,28378
READ,1638083854161,28520
READ,1638083854231,34829
READ,1638083854261,29945
READ,1638083854295,34423
READ,1638083854393,29313
READ,1638083854587,32954
READ,1638083854684,29134
READ,1638083854714,30717
READ,1638083854773,30788
READ,1638083854945,29074
READ,1638083854977,31895
READ,1638083855041,32401
READ,1638083855073,32490
READ,1638083855166,31802
READ,1638083855306,33865
READ,1638083855336,30189
READ,1638083855399,28899
READ,1638083855436,37342
READ,1638083855538,32836
READ,1638083855571,33028
READ,1638083855628,28927
READ,1638083855658,29626
READ,1638083855728,35068
READ,1638083855758,29849
READ,1638083855819,28268
READ,1638083855980,33728
READ,1638083856066,28490
READ,1638083856198,29607
READ,1638083856233,34637
READ,1638083856420,33917
READ,1638083856667,30935
READ,1638083856729,28665
READ,1638083856759,30053
READ,1638083856793,34184
READ,1638083856826,33539
READ,1638083856889,29974
READ,1638083857243,29397
READ,1638083857279,35318
READ,1638083857352,37293
READ,1638083857413,32581
READ,1638083857444,30796
READ,1638083857621,36265
READ,1638083857719,37481
READ,1638083857788,33668
READ,1638083857821,33211
READ,1638083857941,29844
