Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
READ latency raw data: op, timestamp(ms), latency(us)
READ,1638299933011,295688
READ,1638299933043,32203
READ,1638299933080,36955
READ,1638299933113,33434
READ,1638299933151,37925
READ,1638299933184,32485
READ,1638299933220,36029
READ,1638299933256,35792
READ,1638299933289,32748
READ,1638299933323,33873
READ,1638299933360,37397
READ,1638299933395,34823
READ,1638299933441,46451
READ,1638299933479,37732
READ,1638299933513,34202
READ,1638299933552,38728
READ,1638299933589,36489
READ,1638299933624,35117
READ,1638299933662,38527
READ,1638299933699,36126
READ,1638299933737,38313
READ,1638299933779,42037
READ,1638299933812,33366
READ,1638299933850,37584
READ,1638299933885,34764
READ,1638299933922,37170
READ,1638299933956,33449
READ,1638299933992,36867
READ,1638299934027,34885
READ,1638299934062,34361
READ,1638299934098,36264
READ,1638299934136,37728
READ,1638299934172,36430
READ,1638299934209,36971
READ,1638299934247,37665
READ,1638299934280,33062
READ,1638299934324,43645
READ,1638299934356,32064
READ,1638299934389,33493
READ,1638299934427,37715
READ,1638299934461,34149
READ,1638299934496,34858
READ,1638299934538,41261
READ,1638299934578,40222
READ,1638299934616,38066
READ,1638299934655,38871
READ,1638299934688,33468
READ,1638299934726,37622
READ,1638299934757,31371
READ,1638299934799,41500
READ,1638299934834,35427
READ,1638299934870,35401
READ,1638299934904,33699
READ,1638299934942,38570
READ,1638299934980,37524
READ,1638299935010,29917
READ,1638299935046,36159
READ,1638299935086,39688
READ,1638299935121,35098
READ,1638299935159,38494
READ,1638299935198,38727
READ,1638299935231,32450
READ,1638299935268,37629
READ,1638299935305,36557
READ,1638299935344,38767
READ,1638299935384,39824
READ,1638299935420,36080
READ,1638299935454,33734
READ,1638299935570,116263
READ,1638299935606,35855
READ,1638299935638,32138
READ,1638299935673,34634
READ,1638299935710,37683
READ,1638299935751,40987
READ,1638299935791,39371
READ,1638299935838,47251
READ,1638299935874,35679
READ,1638299935910,36314
READ,1638299935945,35169
READ,1638299935981,35738
READ,1638299936019,37882
READ,1638299936054,35308
READ,1638299936099,44312
READ,1638299936144,44741
READ,1638299936187,43429
READ,1638299936221,33493
READ,1638299936255,34211
READ,1638299936295,39540
READ,1638299936327,32162
READ,1638299936365,38108
READ,1638299936401,36247
READ,1638299936439,37766
READ,1638299936471,31678
READ,1638299936519,48098
READ,1638299936556,36693
READ,1638299936588,31933
READ,1638299936623,35458
READ,1638299936661,37433
