Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
CLEANUP latency raw data: op, timestamp(ms), latency(us)
CLEANUP,1638084027743,1
INSERT latency raw data: op, timestamp(ms), latency(us)
INSERT,1638083992886,297687
INSERT,1638083992922,36095
INSERT,1638083992958,35503
INSERT,1638083992993,34940
INSERT,1638083993028,35084
INSERT,1638083993066,37968
INSERT,1638083993101,35164
INSERT,1638083993142,40769
INSERT,1638083993186,43526
INSERT,1638083993223,37242
INSERT,1638083993260,37070
INSERT,1638083993299,38619
INSERT,1638083993334,34553
INSERT,1638083993367,33338
INSERT,1638083993401,33591
INSERT,1638083993435,34325
INSERT,1638083993471,35874
INSERT,1638083993507,35859
INSERT,1638083993542,34644
INSERT,1638083993579,37728
INSERT,1638083993614,34609
INSERT,1638083993649,35133
INSERT,1638083993685,35366
INSERT,1638083993721,35718
INSERT,1638083993755,34604
INSERT,1638083993790,34503
INSERT,1638083993823,33423
INSERT,1638083993858,34648
INSERT,1638083993893,34506
INSERT,1638083993925,32525
INSERT,1638083993964,39034
INSERT,1638083994003,38778
INSERT,1638083994038,34775
INSERT,1638083994076,37674
INSERT,1638083994114,38427
INSERT,1638083994151,36765
INSERT,1638083994181,30402
INSERT,1638083994218,36474
INSERT,1638083994262,44329
INSERT,1638083994302,39774
INSERT,1638083994334,31683
INSERT,1638083994368,34043
INSERT,1638083994404,35722
INSERT,1638083994434,30275
INSERT,1638083994472,37602
INSERT,1638083994506,34345
INSERT,1638083994538,31735
INSERT,1638083994576,38229
INSERT,1638083994610,33363
INSERT,1638083994645,34838
INSERT,1638083994682,37151
INSERT,1638083994719,36649
INSERT,1638083994757,38436
INSERT,1638083994792,34661
INSERT,1638083994834,42527
INSERT,1638083994872,37686
INSERT,1638083994907,34816
INSERT,1638083994942,34644
INSERT,1638083994974,32216
INSERT,1638083995009,35022
INSERT,1638083995047,37797
INSERT,1638083995081,34224
INSERT,1638083995112,30459
INSERT,1638083995147,35049
INSERT,1638083995181,34256
INSERT,1638083995216,35310
INSERT,1638083995247,30836
INSERT,1638083995280,32219
INSERT,1638083995314,34713
INSERT,1638083995353,38178
INSERT,1638083995385,31856
INSERT,1638083995414,29871
INSERT,1638083995454,38980
INSERT,1638083995489,35441
INSERT,1638083995525,36348
INSERT,1638083995560,34751
INSERT,1638083995597,36939
INSERT,1638083995634,36808
INSERT,1638083995668,33467
INSERT,1638083995702,34562
INSERT,1638083995739,37184
INSERT,1638083995778,38410
INSERT,1638083995814,35953
INSERT,1638083995849,34925
INSERT,1638083995883,34046
INSERT,1638083995921,37949
INSERT,1638083995957,35920
INSERT,1638083995991,33614
INSERT,1638083996030,39505
INSERT,1638083996067,36483
INSERT,1638083996101,34270
INSERT,1638083996131,29407
INSERT,1638083996167,36225
INSERT,1638083996205,37931
INSERT,1638083996243,37690
INSERT,1638083996276,33393
INSERT,1638083996311,34604
INSERT,1638083996346,35431
INSERT,1638083996383,36715
INSERT,1638083996422,38570
INSERT,1638083996456,34820
INSERT,1638083996492,35315
INSERT,1638083996528,35577
INSERT,1638083996565,37528
INSERT,1638083996603,37815
INSERT,1638083996635,31763
INSERT,1638083996666,31287
INSERT,1638083996701,35201
INSERT,1638083996733,32056
INSERT,1638083996768,34568
INSERT,1638083996804,35901
INSERT,1638083996841,36376
INSERT,1638083996882,41005
INSERT,1638083996920,37883
INSERT,1638083996957,37385
INSERT,1638083996988,31423
INSERT,1638083997023,34811
INSERT,1638083997061,37454
INSERT,1638083997098,37245
INSERT,1638083997133,35227
INSERT,1638083997167,33722
INSERT,1638083997201,33636
INSERT,1638083997239,37704
INSERT,1638083997269,30265
INSERT,1638083997306,37282
INSERT,1638083997342,35884
INSERT,1638083997377,34863
INSERT,1638083997417,39455
INSERT,1638083997450,32819
INSERT,1638083997480,29998
INSERT,1638083997515,34868
INSERT,1638083997549,34343
INSERT,1638083997579,30208
INSERT,1638083997618,38932
INSERT,1638083997657,38277
INSERT,1638083997695,38773
INSERT,1638083997727,31856
INSERT,1638083997765,37587
INSERT,1638083997802,37165
INSERT,1638083997839,36806
INSERT,1638083997872,33373
INSERT,1638083997909,36860
INSERT,1638083997942,32400
INSERT,1638083997975,32769
INSERT,1638083998006,31495
INSERT,1638083998040,34046
INSERT,1638083998070,30165
INSERT,1638083998109,38852
INSERT,1638083998144,34458
INSERT,1638083998177,33462
INSERT,1638083998212,34826
INSERT,1638083998249,36706
INSERT,1638083998284,35320
INSERT,1638083998322,37513
INSERT,1638083998354,31708
INSERT,1638083998391,37276
INSERT,1638083998429,37496
INSERT,1638083998461,32269
INSERT,1638083998496,34525
INSERT,1638083998530,34506
INSERT,1638083998568,37860
INSERT,1638083998604,35503
INSERT,1638083998639,35827
INSERT,1638083998669,29411
INSERT,1638083998704,35047
INSERT,1638083998739,34552
INSERT,1638083998776,37470
INSERT,1638083998807,30367
INSERT,1638083998845,38186
INSERT,1638083998882,37080
INSERT,1638083998925,42531
INSERT,1638083998961,36171
INSERT,1638083998994,32904
INSERT,1638083999032,38671
INSERT,1638083999070,37677
INSERT,1638083999103,32322
INSERT,1638083999137,33953
INSERT,1638083999173,36465
INSERT,1638083999204,30874
INSERT,1638083999237,32724
INSERT,1638083999272,35127
INSERT,1638083999316,43591
INSERT,1638083999347,31733
INSERT,1638083999381,33429
INSERT,1638083999419,38408
INSERT,1638083999457,37345
INSERT,1638083999491,33744
INSERT,1638083999524,33819
INSERT,1638083999555,29991
INSERT,1638083999588,33806
INSERT,1638083999622,33877
INSERT,1638083999656,33722
INSERT,1638083999690,33926
INSERT,1638083999728,37878
INSERT,1638083999762,33808
INSERT,1638083999791,29434
INSERT,1638083999827,35552
INSERT,1638083999857,30242
INSERT,1638083999893,35187
INSERT,1638083999933,40772
INSERT,1638083999968,34342
INSERT,1638083999999,31637
INSERT,1638084000035,35297
INSERT,1638084000073,38222
INSERT,1638084000110,36931
INSERT,1638084000145,35308
INSERT,1638084000183,37367
INSERT,1638084000220,36986
INSERT,1638084000254,34543
INSERT,1638084000289,34915
INSERT,1638084000324,34781
INSERT,1638084000358,33777
INSERT,1638084000394,35947
INSERT,1638084000429,35223
INSERT,1638084000465,35777
INSERT,1638084000500,34610
INSERT,1638084000542,41783
INSERT,1638084000578,36441
INSERT,1638084000612,34159
INSERT,1638084000647,34943
INSERT,1638084000685,37842
INSERT,1638084000722,36889
INSERT,1638084000756,33940
INSERT,1638084000795,38512
INSERT,1638084000829,34153
INSERT,1638084000864,34525
INSERT,1638084000900,36254
INSERT,1638084000946,45822
INSERT,1638084000980,33770
INSERT,1638084001013,33376
INSERT,1638084001056,42842
INSERT,1638084001087,31578
INSERT,1638084001121,33203
INSERT,1638084001158,37572
INSERT,1638084001194,35767
INSERT,1638084001229,35291
INSERT,1638084001265,35456
INSERT,1638084001303,38085
INSERT,1638084001339,35484
INSERT,1638084001371,32586
INSERT,1638084001407,35915
INSERT,1638084001444,36255
INSERT,1638084001483,39294
INSERT,1638084001513,30538
INSERT,1638084001553,39143
INSERT,1638084001589,36239
INSERT,1638084001629,40018
INSERT,1638084001666,37304
INSERT,1638084001704,38046
INSERT,1638084001742,37138
INSERT,1638084001780,38543
INSERT,1638084001817,36426
INSERT,1638084001851,34551
INSERT,1638084001889,37904
INSERT,1638084001920,30316
INSERT,1638084001954,34266
INSERT,1638084001989,34307
INSERT,1638084002027,38847
INSERT,1638084002062,34827
INSERT,1638084002096,33881
INSERT,1638084002129,32900
INSERT,1638084002168,39198
INSERT,1638084002203,34234
INSERT,1638084002239,35718
INSERT,1638084002274,34977
INSERT,1638084002311,37147
INSERT,1638084002348,36758
INSERT,1638084002387,39526
INSERT,1638084002424,37292
INSERT,1638084002456,31188
INSERT,1638084002494,37650
INSERT,1638084002525,31043
INSERT,1638084002560,35203
INSERT,1638084002594,33629
INSERT,1638084002627,33684
INSERT,1638084002663,35915
INSERT,1638084002699,36097
INSERT,1638084002733,33657
INSERT,1638084002768,35325
INSERT,1638084002815,46787
INSERT,1638084002850,35146
INSERT,1638084002882,31718
INSERT,1638084002916,34180
INSERT,1638084002952,35272
INSERT,1638084002991,39076
INSERT,1638084003024,33485
INSERT,1638084003059,34316
INSERT,1638084003103,43984
INSERT,1638084003135,32219
INSERT,1638084003165,30049
INSERT,1638084003211,45998
INSERT,1638084003247,35895
INSERT,1638084003281,33987
INSERT,1638084003319,37457
INSERT,1638084003356,37599
INSERT,1638084003386,29623
INSERT,1638084003415,29342
INSERT,1638084003451,35477
INSERT,1638084003484,32868
INSERT,1638084003520,36110
INSERT,1638084003559,38552
INSERT,1638084003591,31958
INSERT,1638084003621,30676
INSERT,1638084003657,35216
INSERT,1638084003691,34314
INSERT,1638084003722,31330
INSERT,1638084003756,33762
INSERT,1638084003787,30386
INSERT,1638084003825,38567
INSERT,1638084003860,34588
INSERT,1638084003896,36559
INSERT,1638084003937,40616
INSERT,1638084003968,30791
INSERT,1638084004006,38485
INSERT,1638084004045,38028
INSERT,1638084004079,34393
INSERT,1638084004113,33530
INSERT,1638084004145,31904
INSERT,1638084004176,31629
INSERT,1638084004206,29740
INSERT,1638084004244,38203
INSERT,1638084004286,42198
INSERT,1638084004316,29868
INSERT,1638084004346,29519
INSERT,1638084004379,33243
INSERT,1638084004414,34207
INSERT,1638084004447,33837
INSERT,1638084004478,30866
INSERT,1638084004514,35193
INSERT,1638084004548,34771
INSERT,1638084004585,36254
INSERT,1638084004616,31566
INSERT,1638084004646,29291
INSERT,1638084004680,33937
INSERT,1638084004715,35358
INSERT,1638084004749,33940
INSERT,1638084004781,31779
INSERT,1638084004811,29839
INSERT,1638084004848,37707
INSERT,1638084004885,36173
INSERT,1638084004914,29632
INSERT,1638084004946,31767
INSERT,1638084004976,29892
INSERT,1638084005006,29823
INSERT,1638084005043,36591
INSERT,1638084005078,34917
INSERT,1638084005111,33188
INSERT,1638084005141,29736
INSERT,1638084005176,35758
INSERT,1638084005206,29990
INSERT,1638084005238,31232
INSERT,1638084005275,37626
INSERT,1638084005309,33794
INSERT,1638084005344,34660
INSERT,1638084005380,35543
INSERT,1638084005416,36245
INSERT,1638084005456,40164
INSERT,1638084005490,34296
INSERT,1638084005522,31516
INSERT,1638084005554,31940
INSERT,1638084005585,30538
INSERT,1638084005623,37957
INSERT,1638084005657,34730
INSERT,1638084005692,34702
INSERT,1638084005728,35436
INSERT,1638084005760,31853
INSERT,1638084005793,33456
INSERT,1638084005827,34351
INSERT,1638084005861,33533
INSERT,1638084005897,36211
INSERT,1638084005933,35658
INSERT,1638084005971,38301
INSERT,1638084006004,32168
INSERT,1638084006034,30540
INSERT,1638084006069,35077
INSERT,1638084006106,37214
INSERT,1638084006142,35951
INSERT,1638084006175,32023
INSERT,1638084006208,33199
INSERT,1638084006245,36918
INSERT,1638084006283,38323
INSERT,1638084006321,38208
INSERT,1638084006353,31590
INSERT,1638084006387,33417
INSERT,1638084006418,31087
INSERT,1638084006459,40734
INSERT,1638084006488,29518
INSERT,1638084006524,35495
INSERT,1638084006558,33976
INSERT,1638084006604,46536
INSERT,1638084006643,38707
INSERT,1638084006681,38280
INSERT,1638084006717,35773
INSERT,1638084006755,37755
INSERT,1638084006792,37104
INSERT,1638084006826,33692
INSERT,1638084006860,34026
INSERT,1638084006894,33597
INSERT,1638084006931,37548
INSERT,1638084006961,29911
INSERT,1638084006993,32090
INSERT,1638084007030,36295
INSERT,1638084007066,36109
INSERT,1638084007111,44688
INSERT,1638084007144,33462
INSERT,1638084007179,34553
INSERT,1638084007213,34101
INSERT,1638084007243,29964
INSERT,1638084007285,42192
INSERT,1638084007320,34729
INSERT,1638084007355,34835
INSERT,1638084007391,36410
INSERT,1638084007425,33385
INSERT,1638084007459,34008
INSERT,1638084007493,33975
