Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
READ latency raw data: op, timestamp(ms), latency(us)
READ,1638084321651,40789
READ,1638084321878,37745
READ,1638084321953,37936
READ,1638084322599,37217
READ,1638084322671,35327
READ,1638084323109,36019
READ,1638084323371,32122
READ,1638084323815,33204
READ,1638084324282,33610
READ,1638084324436,38519
READ,1638084325021,33901
READ,1638084325392,34546
READ,1638084325500,34870
READ,1638084326213,39093
READ,1638084326592,33122
READ,1638084326814,33125
READ,1638084327477,33053
READ,1638084327730,37635
READ,1638084328580,36706
READ,1638084329201,39003
READ,1638084329499,33137
READ,1638084329755,38325
READ,1638084330216,39376
READ,1638084330289,39315
READ,1638084331302,34081
READ,1638084331520,34320
READ,1638084331814,34880
READ,1638084331965,38162
READ,1638084332153,36497
READ,1638084332747,35448
READ,1638084333254,30519
READ,1638084333820,40322
READ,1638084333927,37012
READ,1638084334382,35796
READ,1638084335486,36249
READ,1638084335663,37669
READ,1638084335808,30583
READ,1638084336156,39266
READ,1638084336234,40088
READ,1638084336457,33668
READ,1638084336787,37924
READ,1638084337040,45548
READ,1638084337613,36698
READ,1638084338125,33432
READ,1638084339647,32593
READ,1638084339687,39326
READ,1638084339832,35156
READ,1638084340082,35146
READ,1638084340115,32925
READ,1638084340265,32867
READ,1638084340343,41145
READ,1638084340881,38731
READ,1638084341231,32793
READ,1638084341453,35843
READ,1638084341654,27442
READ,1638084342555,33591
READ,1638084342664,34193
READ,1638084342950,34315
READ,1638084342988,38443
READ,1638084344208,37820
READ,1638084344527,33933
READ,1638084344636,35971
READ,1638084344711,34833
READ,1638084344748,37133
READ,1638084345002,37278
READ,1638084345105,36674
READ,1638084345603,32733
READ,1638084346209,34100
READ,1638084346444,35583
READ,1638084347049,35405
READ,1638084348323,33597
READ,1638084348572,37562
READ,1638084348610,38122
READ,1638084348875,31898
READ,1638084348908,32932
READ,1638084349016,34707
READ,1638084349399,33900
READ,1638084349571,33130
READ,1638084350648,36580
READ,1638084351041,38178
READ,1638084351121,41146
READ,1638084351418,37918
READ,1638084351558,35747
READ,1638084351903,32262
READ,1638084352032,33938
READ,1638084352140,38363
READ,1638084352392,41199
READ,1638084352721,32616
READ,1638084352754,32718
READ,1638084352792,38353
READ,1638084353073,33500
READ,1638084353226,38696
READ,1638084353272,45111
READ,1638084353587,28647
READ,1638084354103,33445
READ,1638084354362,30677
READ,1638084354443,39895
READ,1638084354542,31406
READ,1638084355231,33003
READ,1638084355549,28326
READ,1638084355713,36395
READ,1638084355885,28991
READ,1638084356334,33048
READ,1638084356405,33460
READ,1638084356468,29245
CLEANUP latency raw data: op, timestamp(ms), latency(us)
CLEANUP,1638084356618,1
INSERT latency raw data: op, timestamp(ms), latency(us)
INSERT,1638084320835,290900
INSERT,1638084320875,39280
INSERT,1638084320917,42521
INSERT,1638084320952,34756
INSERT,1638084320991,38866
INSERT,1638084321029,37586
INSERT,1638084321066,37320
INSERT,1638084321103,37407
INSERT,1638084321142,38595
INSERT,1638084321175,32743
INSERT,1638084321209,34286
INSERT,1638084321247,37398
INSERT,1638084321279,32322
INSERT,1638084321311,32060
INSERT,1638084321348,36412
INSERT,1638084321387,39022
INSERT,1638084321419,32234
INSERT,1638084321451,31515
INSERT,1638084321496,45125
INSERT,1638084321534,38016
INSERT,1638084321572,38258
INSERT,1638084321611,38116
INSERT,1638084321688,36184
INSERT,1638084321726,38212
INSERT,1638084321764,37657
INSERT,1638084321802,38549
INSERT,1638084321840,37351
INSERT,1638084321915,37516
INSERT,1638084321998,45008
INSERT,1638084322036,38017
INSERT,1638084322075,39070
INSERT,1638084322113,37955
INSERT,1638084322152,38863
INSERT,1638084322190,37637
INSERT,1638084322229,38469
INSERT,1638084322265,36424
INSERT,1638084322304,38727
INSERT,1638084322341,37280
INSERT,1638084322380,38974
INSERT,1638084322417,36687
INSERT,1638084322455,37705
INSERT,1638084322488,32773
INSERT,1638084322524,36293
INSERT,1638084322562,37550
INSERT,1638084322636,36690
INSERT,1638084322709,38307
INSERT,1638084322745,35614
INSERT,1638084322779,33816
INSERT,1638084322816,36984
INSERT,1638084322855,38712
INSERT,1638084322883,27820
INSERT,1638084322915,32665
INSERT,1638084322955,39129
INSERT,1638084322997,42279
INSERT,1638084323037,38747
INSERT,1638084323073,36227
INSERT,1638084323143,33997
INSERT,1638084323179,35633
INSERT,1638084323221,42396
INSERT,1638084323260,38903
INSERT,1638084323300,39548
INSERT,1638084323338,38570
INSERT,1638084323407,36699
INSERT,1638084323447,39941
INSERT,1638084323485,37603
INSERT,1638084323523,37916
INSERT,1638084323556,32562
INSERT,1638084323593,37752
INSERT,1638084323636,43021
INSERT,1638084323671,34455
INSERT,1638084323707,35677
INSERT,1638084323744,37466
INSERT,1638084323782,37486
INSERT,1638084323853,37500
INSERT,1638084323883,30192
INSERT,1638084323921,38129
INSERT,1638084323954,32912
INSERT,1638084323987,33370
INSERT,1638084324021,33928
INSERT,1638084324060,38130
INSERT,1638084324097,37759
INSERT,1638084324134,36920
INSERT,1638084324173,38258
INSERT,1638084324212,38739
INSERT,1638084324249,37105
INSERT,1638084324322,39967
INSERT,1638084324360,37631
INSERT,1638084324398,37792
INSERT,1638084324469,32568
INSERT,1638084324507,37905
INSERT,1638084324546,39000
INSERT,1638084324584,38217
INSERT,1638084324617,33014
INSERT,1638084324655,37606
INSERT,1638084324688,32618
INSERT,1638084324726,38441
INSERT,1638084324764,37902
INSERT,1638084324804,39214
