Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
READ latency raw data: op, timestamp(ms), latency(us)
READ,1638084401387,282190
READ,1638084401422,34924
READ,1638084401460,38185
READ,1638084401494,34250
READ,1638084401529,34724
READ,1638084401568,38473
READ,1638084401604,36153
READ,1638084401638,34340
READ,1638084401676,37634
READ,1638084401705,29172
READ,1638084401740,34782
READ,1638084401773,32753
READ,1638084401806,33462
READ,1638084401839,32487
READ,1638084401875,36489
READ,1638084401945,33829
READ,1638084401980,35196
READ,1638084402048,30857
READ,1638084402083,34606
READ,1638084402119,35851
READ,1638084402190,35871
READ,1638084402222,31525
READ,1638084402258,36455
READ,1638084402293,34786
READ,1638084402325,32421
READ,1638084402362,36592
READ,1638084402396,33542
READ,1638084402431,34861
READ,1638084402464,33595
READ,1638084402498,33601
READ,1638084402527,28770
READ,1638084402563,36185
READ,1638084402593,30426
READ,1638084402629,35943
READ,1638084402669,39692
READ,1638084402703,34376
READ,1638084402738,34349
READ,1638084402774,36570
READ,1638084402808,33346
READ,1638084402837,28903
READ,1638084402871,34210
READ,1638084402905,33473
READ,1638084402944,39476
READ,1638084402977,32596
READ,1638084403011,33896
READ,1638084403049,37993
READ,1638084403083,33914
READ,1638084403116,33409
READ,1638084403154,37948
READ,1638084403193,38529
READ,1638084403260,33510
READ,1638084403299,38089
READ,1638084403329,30549
READ,1638084403362,32989
READ,1638084403402,39257
READ,1638084403470,31058
READ,1638084403506,36365
READ,1638084403541,34504
READ,1638084403616,37193
READ,1638084403649,33539
READ,1638084403684,35311
READ,1638084403720,35923
READ,1638084403756,35435
READ,1638084403790,34011
READ,1638084403824,34036
READ,1638084403863,39016
READ,1638084403941,40873
READ,1638084403979,37338
READ,1638084404018,39362
READ,1638084404052,34313
READ,1638084404090,37556
READ,1638084404127,36818
READ,1638084404160,33390
READ,1638084404202,41827
READ,1638084404232,29889
READ,1638084404311,44376
READ,1638084404390,43172
READ,1638084404431,41525
READ,1638084404468,36233
READ,1638084404504,36324
READ,1638084404539,35149
READ,1638084404573,33760
READ,1638084404613,39734
READ,1638084404644,31272
READ,1638084404714,30542
READ,1638084404750,35777
READ,1638084404828,42346
READ,1638084404868,39921
READ,1638084404904,35824
READ,1638084404940,36172
READ,1638084404974,33810
READ,1638084405012,37390
READ,1638084405046,34104
READ,1638084405089,42816
READ,1638084405125,36705
READ,1638084405158,33082
READ,1638084405230,37738
READ,1638084405265,34587
READ,1638084405301,35812
READ,1638084405338,37233
READ,1638084405372,34213
READ,1638084405416,43937
READ,1638084405447,30646
READ,1638084405483,36570
READ,1638084405560,37475
READ,1638084405626,33467
READ,1638084405661,35390
READ,1638084405692,30952
READ,1638084405723,30329
READ,1638084405755,32197
READ,1638084405790,34909
READ,1638084405819,29095
READ,1638084405853,33386
READ,1638084405886,33845
READ,1638084405925,38846
READ,1638084405960,34152
READ,1638084405990,30495
READ,1638084406024,34403
READ,1638084406062,37330
READ,1638084406096,34206
READ,1638084406134,38238
READ,1638084406187,52172
READ,1638084406281,46234
READ,1638084406312,30600
READ,1638084406346,34195
READ,1638084406448,33839
READ,1638084406478,29536
READ,1638084406511,33686
READ,1638084406549,37510
READ,1638084406624,37679
READ,1638084406658,33404
READ,1638084406692,33685
READ,1638084406725,33171
READ,1638084406767,42293
READ,1638084406804,36742
READ,1638084406834,30467
READ,1638084406898,30386
READ,1638084406968,34860
READ,1638084407001,32941
READ,1638084407034,32340
READ,1638084407069,35608
READ,1638084407107,37756
READ,1638084407144,36959
READ,1638084407190,46225
READ,1638084407231,39841
READ,1638084407299,30474
READ,1638084407335,35744
READ,1638084407374,38854
READ,1638084407409,35129
READ,1638084407438,28656
READ,1638084407473,35153
READ,1638084407505,32235
READ,1638084407538,33158
READ,1638084407573,34965
READ,1638084407605,31578
READ,1638084407639,34199
READ,1638084407672,32985
READ,1638084407706,34090
READ,1638084407743,36159
READ,1638084407777,34080
READ,1638084407811,33900
READ,1638084407848,37678
READ,1638084407916,33998
READ,1638084407949,33106
READ,1638084407979,29549
READ,1638084408018,39259
READ,1638084408052,33652
READ,1638084408091,38629
READ,1638084408162,34692
READ,1638084408195,33363
READ,1638084408232,37418
READ,1638084408268,35997
READ,1638084408300,31475
READ,1638084408399,35260
READ,1638084408432,32712
READ,1638084408467,34845
READ,1638084408495,28864
READ,1638084408530,34507
READ,1638084408564,34126
READ,1638084408602,38089
READ,1638084408673,32561
READ,1638084408710,36381
READ,1638084408748,37968
READ,1638084408786,38563
READ,1638084408819,32887
READ,1638084408853,33639
READ,1638084408889,35905
READ,1638084408926,36864
READ,1638084409002,37692
READ,1638084409044,41877
READ,1638084409078,34452
READ,1638084409115,36950
READ,1638084409145,29191
READ,1638084409181,36712
READ,1638084409212,30582
READ,1638084409245,33424
READ,1638084409275,29603
READ,1638084409354,41295
READ,1638084409392,38779
READ,1638084409428,35484
READ,1638084409464,36055
READ,1638084409498,33357
READ,1638084409538,40280
READ,1638084409568,30492
READ,1638084409605,36842
READ,1638084409643,37941
READ,1638084409714,37851
READ,1638084409748,33976
READ,1638084409784,35328
READ,1638084409817,32960
READ,1638084409851,34335
READ,1638084409885,34512
READ,1638084409920,34590
READ,1638084409954,33468
READ,1638084410020,33341
READ,1638084410058,37293
READ,1638084410094,36308
