Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
READ latency raw data: op, timestamp(ms), latency(us)
READ,1638084154388,318713
READ,1638084154422,33316
READ,1638084154458,36582
READ,1638084154496,37593
READ,1638084154530,34403
READ,1638084154566,35537
READ,1638084154599,32815
READ,1638084154636,36779
READ,1638084154673,37609
READ,1638084154709,35579
READ,1638084154748,39090
READ,1638084154784,36223
READ,1638084154817,32913
READ,1638084154854,36749
READ,1638084154891,36512
READ,1638084154927,36678
READ,1638084154962,34676
READ,1638084154999,36943
READ,1638084155037,38192
READ,1638084155073,35923
READ,1638084155108,34727
READ,1638084155144,35918
READ,1638084155176,31750
READ,1638084155208,31834
READ,1638084155245,37415
READ,1638084155282,36378
READ,1638084155313,31631
READ,1638084155348,34897
READ,1638084155387,38311
READ,1638084155421,34349
READ,1638084155457,35769
READ,1638084155494,37125
READ,1638084155532,38257
READ,1638084155571,38818
READ,1638084155609,38114
READ,1638084155645,35827
READ,1638084155682,36584
READ,1638084155717,34863
READ,1638084155753,36492
READ,1638084155790,36730
READ,1638084155825,34872
READ,1638084155862,36543
READ,1638084155897,35280
READ,1638084155932,35485
READ,1638084155968,35101
READ,1638084156004,36133
READ,1638084156041,37456
READ,1638084156076,34974
READ,1638084156112,35627
READ,1638084156148,36028
READ,1638084156186,37545
READ,1638084156225,39834
READ,1638084156263,37379
READ,1638084156301,37732
READ,1638084156332,31629
READ,1638084156367,35079
READ,1638084156406,38309
READ,1638084156454,47682
READ,1638084156486,31928
READ,1638084156518,32371
READ,1638084156553,35314
READ,1638084156589,35809
READ,1638084156621,32284
READ,1638084156658,35971
READ,1638084156695,37136
READ,1638084156731,36115
READ,1638084156769,37574
READ,1638084156806,37132
READ,1638084156844,38165
READ,1638084156878,33697
READ,1638084156915,37669
READ,1638084156952,36679
READ,1638084156988,36245
READ,1638084157024,35999
READ,1638084157062,37346
READ,1638084157099,36758
READ,1638084157135,36101
READ,1638084157170,35494
READ,1638084157208,37564
READ,1638084157240,31920
READ,1638084157272,31967
READ,1638084157309,37346
READ,1638084157346,36398
READ,1638084157376,30205
