Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
READ latency raw data: op, timestamp(ms), latency(us)
READ,1638087339959,190277
READ,1638087339994,35746
READ,1638087340027,32149
READ,1638087340058,31493
READ,1638087340095,36870
READ,1638087340134,38558
READ,1638087340169,35248
READ,1638087340203,34263
READ,1638087340235,31696
READ,1638087340270,34801
READ,1638087340304,33679
READ,1638087340339,35509
READ,1638087340376,36967
READ,1638087340409,32917
READ,1638087340444,34913
READ,1638087340479,35076
READ,1638087340514,35043
READ,1638087340551,36267
READ,1638087340591,40374
READ,1638087340628,36553
READ,1638087340672,44432
READ,1638087340708,35689
READ,1638087340743,34871
READ,1638087340779,36270
READ,1638087340813,33837
READ,1638087340886,34050
READ,1638087340924,37829
READ,1638087340955,31223
READ,1638087340992,37471
READ,1638087341022,29945
READ,1638087341055,32454
READ,1638087341087,32211
READ,1638087341116,29227
READ,1638087341150,33663
READ,1638087341185,35125
READ,1638087341230,44913
READ,1638087341274,43459
READ,1638087341310,36581
READ,1638087341350,39807
READ,1638087341384,33311
READ,1638087341419,35760
READ,1638087341488,31562
READ,1638087341522,33939
READ,1638087341559,37393
READ,1638087341592,32551
READ,1638087341662,35469
READ,1638087341734,37930
READ,1638087341765,31206
READ,1638087341803,37386
READ,1638087341836,33001
READ,1638087341871,35482
READ,1638087341907,35230
READ,1638087341942,35334
READ,1638087341981,38786
READ,1638087342016,35051
READ,1638087342052,36310
READ,1638087342086,33679
READ,1638087342119,33328
READ,1638087342151,31213
READ,1638087342188,37378
READ,1638087342227,38522
READ,1638087342261,33814
READ,1638087342297,36562
READ,1638087342373,39768
READ,1638087342410,36945
READ,1638087342447,36782
READ,1638087342486,38667
READ,1638087342558,33896
READ,1638087342595,37375
READ,1638087342673,43755
READ,1638087342705,31465
READ,1638087342744,39364
READ,1638087342782,38101
READ,1638087342815,32804
READ,1638087342851,35536
READ,1638087342887,36798
READ,1638087342923,35212
READ,1638087342960,37401
READ,1638087343036,37864
READ,1638087343104,35818
READ,1638087343136,31837
READ,1638087343178,42074
READ,1638087343210,31811
READ,1638087343243,33817
READ,1638087343277,33245
READ,1638087343315,37803
READ,1638087343351,35983
READ,1638087343391,40263
READ,1638087343424,32960
READ,1638087343456,31975
READ,1638087343488,31896
READ,1638087343556,34734
READ,1638087343594,37589
READ,1638087343631,37132
READ,1638087343667,36154
READ,1638087343703,35972
READ,1638087343741,37875
READ,1638087343780,38810
READ,1638087343816,35950
READ,1638087343850,33784
READ,1638087343885,35873
READ,1638087343954,34262
READ,1638087343988,34186
READ,1638087344022,33434
READ,1638087344059,37486
READ,1638087344095,35776
READ,1638087344131,35913
READ,1638087344160,29571
READ,1638087344197,36020
READ,1638087344229,32629
READ,1638087344262,33191
READ,1638087344297,34094
READ,1638087344334,37491
READ,1638087344376,41932
READ,1638087344411,34825
READ,1638087344446,35402
READ,1638087344481,34502
READ,1638087344554,34425
READ,1638087344591,37326
READ,1638087344631,39644
