Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
READ latency raw data: op, timestamp(ms), latency(us)
READ,1638089743344,44354
READ,1638089743846,39135
READ,1638089743974,40812
READ,1638089744096,40154
READ,1638089744135,39107
READ,1638089744272,39967
READ,1638089744448,40261
READ,1638089744713,38597
READ,1638089745580,36776
READ,1638089745832,35091
READ,1638089745866,34063
READ,1638089746678,34948
READ,1638089746848,39370
READ,1638089747378,31888
READ,1638089747412,34519
READ,1638089748522,33537
READ,1638089749029,36834
READ,1638089749281,35285
READ,1638089749318,37536
READ,1638089749513,30547
READ,1638089750203,35446
READ,1638089750416,40080
READ,1638089751117,37788
READ,1638089751798,35860
READ,1638089752918,34902
READ,1638089753086,35741
READ,1638089753788,35719
READ,1638089754230,34315
READ,1638089754532,38093
READ,1638089754569,36676
READ,1638089755401,41050
READ,1638089755795,41129
READ,1638089756453,39532
READ,1638089756716,43113
READ,1638089756936,41740
READ,1638089757813,50305
READ,1638089758460,35913
READ,1638089758495,34558
READ,1638089758898,38359
READ,1638089759057,30942
READ,1638089759972,35364
READ,1638089760012,39967
READ,1638089760085,33264
READ,1638089762747,37645
READ,1638089763497,38798
READ,1638089764393,36568
READ,1638089764809,35259
READ,1638089765212,33434
READ,1638089765331,35231
READ,1638089766147,31949
READ,1638089768389,31354
READ,1638089768541,31138
READ,1638089768577,36507
READ,1638089768981,36930
READ,1638089769015,33575
READ,1638089769136,36233
READ,1638089769429,31058
READ,1638089770537,35096
READ,1638089770693,35216
READ,1638089771879,35504
READ,1638089772093,39047
READ,1638089772485,35006
READ,1638089773506,31530
READ,1638089774334,39352
READ,1638089774544,34807
READ,1638089775401,34636
READ,1638089776466,38378
READ,1638089777062,35638
READ,1638089777763,38559
READ,1638089777797,33979
READ,1638089778851,35011
READ,1638089778966,31758
READ,1638089779777,33870
READ,1638089779811,34151
READ,1638089780411,31335
READ,1638089780778,40432
READ,1638089781075,30472
READ,1638089781154,32798
READ,1638089781454,39456
READ,1638089783215,32825
READ,1638089783977,30440
READ,1638089784776,30938
READ,1638089784987,38787
CLEANUP latency raw data: op, timestamp(ms), latency(us)
CLEANUP,1638089786354,1
INSERT latency raw data: op, timestamp(ms), latency(us)
INSERT,1638089742986,370126
INSERT,1638089743097,110103
INSERT,1638089743149,51695
INSERT,1638089743257,107504
INSERT,1638089743300,42995
INSERT,1638089743389,44785
INSERT,1638089743431,41343
INSERT,1638089743529,97809
INSERT,1638089743571,41889
INSERT,1638089743667,96078
INSERT,1638089743709,41470
INSERT,1638089743765,55592
INSERT,1638089743807,42492
INSERT,1638089743891,44275
INSERT,1638089743933,41700
INSERT,1638089744013,39584
INSERT,1638089744055,41918
INSERT,1638089744183,47611
INSERT,1638089744232,48989
INSERT,1638089744319,47098
INSERT,1638089744364,44404
INSERT,1638089744408,43965
INSERT,1638089744493,44554
INSERT,1638089744538,45272
INSERT,1638089744584,45923
INSERT,1638089744630,45062
INSERT,1638089744674,44455
INSERT,1638089744763,49862
INSERT,1638089744806,43213
INSERT,1638089744849,42710
INSERT,1638089744896,46624
INSERT,1638089744937,40445
INSERT,1638089744978,40890
INSERT,1638089745023,45226
INSERT,1638089745068,45282
INSERT,1638089745111,42523
INSERT,1638089745154,42150
INSERT,1638089745194,40711
INSERT,1638089745241,46024
INSERT,1638089745286,45162
INSERT,1638089745327,40737
INSERT,1638089745372,45227
INSERT,1638089745411,38992
INSERT,1638089745453,41793
INSERT,1638089745498,44691
INSERT,1638089745543,44559
INSERT,1638089745619,38651
INSERT,1638089745665,46373
INSERT,1638089745712,47153
INSERT,1638089745754,40871
