Raw data measurement: will output to stdout.
Raw data measurement: will output to stdout.
CLEANUP latency raw data: op, timestamp(ms), latency(us)
CLEANUP,1638315373884,1
INSERT latency raw data: op, timestamp(ms), latency(us)
INSERT,1638315272954,53051
INSERT,1638315272990,35348
INSERT,1638315273023,32731
INSERT,1638315273055,31811
INSERT,1638315273108,53367
INSERT,1638315273141,33090
INSERT,1638315273176,35272
INSERT,1638315273210,33755
INSERT,1638315273247,36444
INSERT,1638315273280,33236
INSERT,1638315273312,32121
INSERT,1638315273350,37304
INSERT,1638315273384,33970
INSERT,1638315273418,33960
INSERT,1638315273450,32030
INSERT,1638315273478,28319
INSERT,1638315273518,39467
INSERT,1638315273550,32037
INSERT,1638315273583,32953
INSERT,1638315273617,33745
INSERT,1638315273653,35923
INSERT,1638315273687,34196
INSERT,1638315273720,32809
INSERT,1638315273757,36802
INSERT,1638315273794,37179
INSERT,1638315273827,33166
INSERT,1638315273868,40972
INSERT,1638315273908,39962
INSERT,1638315273945,36256
INSERT,1638315273977,32460
INSERT,1638315274013,35818
INSERT,1638315274046,32661
INSERT,1638315274080,33847
INSERT,1638315274117,37794
INSERT,1638315274147,29934
INSERT,1638315274180,32347
INSERT,1638315274215,35065
INSERT,1638315274250,35257
INSERT,1638315274283,32330
INSERT,1638315274316,33160
INSERT,1638315274347,30992
INSERT,1638315274382,34565
INSERT,1638315274418,36233
INSERT,1638315274450,32264
INSERT,1638315274483,32204
INSERT,1638315274511,28822
INSERT,1638315274546,34534
INSERT,1638315274580,33534
INSERT,1638315274612,32122
INSERT,1638315274647,34976
INSERT,1638315274682,35531
INSERT,1638315274716,33010
INSERT,1638315274752,36222
INSERT,1638315274784,32347
INSERT,1638315274816,32000
INSERT,1638315274851,34706
INSERT,1638315274887,36353
INSERT,1638315274923,35650
INSERT,1638315274960,36483
INSERT,1638315274994,34284
INSERT,1638315275028,33623
INSERT,1638315275058,29880
INSERT,1638315275094,36556
INSERT,1638315275136,41466
INSERT,1638315275177,40910
INSERT,1638315275215,38505
INSERT,1638315275252,37037
INSERT,1638315275289,36260
INSERT,1638315275324,34896
INSERT,1638315275359,35126
INSERT,1638315275396,37568
INSERT,1638315275434,37141
INSERT,1638315275463,29703
INSERT,1638315275510,46611
INSERT,1638315275545,34519
INSERT,1638315275582,37041
INSERT,1638315275626,44353
INSERT,1638315275656,30043
INSERT,1638315275686,30052
INSERT,1638315275720,33952
INSERT,1638315275753,32198
INSERT,1638315275787,34175
INSERT,1638315275820,32672
INSERT,1638315275857,37554
INSERT,1638315275894,36585
INSERT,1638315275931,36975
INSERT,1638315275965,34368
INSERT,1638315276009,43158
INSERT,1638315276040,31734
INSERT,1638315276073,32258
INSERT,1638315276108,35010
INSERT,1638315276139,31380
